episodio,pasos,recompensa
1,23,-24.852585
2,166,-152.45338
3,221,-40.980553
4,234,-15.3440895
5,249,-15.071013
6,271,-24.414955
7,301,-27.992577
8,405,-33.931587
9,485,-77.72127
10,518,-39.57987
11,557,-8.239163
12,573,-19.042805
13,648,-74.47178
14,660,-18.714357
15,730,-37.503056
16,787,-35.131195
17,807,-8.4992075
18,931,-227.97932
19,1011,-63.697445
20,1056,-18.643139
21,1076,-12.117746
22,1106,-29.252266
23,1123,-26.548033
24,1199,-123.58711
25,1219,-23.995455
26,1282,-68.46883
27,1602,-399.2476
28,1643,-41.022495
29,1676,-37.04387
30,1692,-19.822552
31,1778,-113.72439
32,1793,-5.8055086
33,1826,-20.59701
34,1864,-23.213602
35,1907,-57.19432
36,1934,-8.456604
37,1957,-11.068035
38,1990,-31.981457
39,2038,-31.42095
40,2057,-24.13113
41,2090,-29.281199
42,2265,-103.10831
43,3265,-896.03235
44,3306,-40.18275
45,3525,-196.35622
46,3631,-141.73798
47,3714,-102.680374
48,3733,-11.215276
49,3748,-12.907662
50,3870,-103.51705
51,3920,-56.71427
52,4077,-130.87608
53,4136,-41.471867
54,4158,-29.902718
55,4172,-16.893503
56,4181,-19.07423
57,4232,-51.664986
58,4308,-99.71718
59,5308,-978.5313
60,5338,-14.491965
61,5358,-23.746248
62,5380,-16.959976
63,5412,-24.342245
64,5446,-40.04136
65,5497,-53.182446
66,5547,-88.35975
67,5612,-92.15551
68,5644,-45.163357
69,5678,-30.688427
70,5703,-24.057236
71,5726,-28.774506
72,5764,-30.96378
73,6133,-392.13437
74,6150,-11.133119
75,6179,-22.189438
76,6189,-7.78309
77,6203,3.8365788
78,6252,-55.381435
79,6308,-26.544273
80,6366,-45.92079
81,6381,-17.100832
82,6454,-100.62805
83,6501,-20.627012
84,6541,-30.279186
85,6555,-17.941647
86,6591,-45.36765
87,6635,-41.96659
88,6789,-206.08206
89,6835,-37.62443
90,6871,-32.079624
91,6890,-27.619686
92,6920,-38.245716
93,7099,-173.29826
94,7118,-11.510104
95,7140,-20.072462
96,7180,-58.59948
97,7228,-12.530978
98,7269,-41.133194
99,7299,-26.354591
100,7366,-27.776546
101,7386,-3.6646168
102,7407,-10.153065
103,7434,-23.72736
104,7448,-11.212385
105,7536,32.722103
106,7603,0.12094101
107,7644,-55.55448
108,7661,-30.61523
109,7729,-32.809937
110,8729,-967.03656
111,8753,-13.358771
112,8822,-41.707863
113,8923,-171.90434
114,8938,-19.387829
115,9012,-87.79187
116,9144,-178.2085
117,9186,-72.60077
118,9220,-53.922916
119,9326,-152.03873
120,9409,-112.7176
121,9424,-6.826306
122,9438,-23.954218
123,9555,-84.93234
124,9596,-18.059778
125,9644,-71.27889
126,9678,-40.290558
127,9698,-18.275263
128,9746,-64.68321
129,9800,-42.634686
130,9845,-84.14839
131,9938,-77.84219
132,10021,-102.16231
133,10118,-94.04405
134,10164,-40.246822
135,10340,-167.81688
136,10354,-2.5704849
137,10406,-83.72033
138,10444,15.180022
139,10462,-22.204145
140,10515,-40.559097
141,10584,-58.554607
142,10789,-276.26987
143,10809,-17.90128
144,10834,-5.2834
145,10860,-20.934856
146,10960,-109.55318
147,10974,0.41135436
148,11016,-30.154474
149,11034,-17.045177
150,11054,-30.479774
151,11154,-104.26214
152,11185,-32.104416
153,11199,-15.029004
154,11231,-25.054857
155,11283,-59.061207
156,11337,-65.24448
157,11388,-24.64239
158,11404,-15.120279
159,11432,-32.091946
160,11514,-125.49061
161,11609,-140.50145
162,11635,-29.209259
163,11704,-48.801655
164,12704,-901.4972
165,12735,-27.807175
166,12754,-24.29458
167,12794,-17.528038
168,12820,-32.304405
169,12837,-25.2451
170,12886,-55.517708
171,13037,-117.02838
172,13137,-81.993324
173,13144,-12.033257
174,13157,-18.178461
175,13254,-110.70585
176,13314,-27.967358
177,13396,-135.39388
178,13473,-101.1742
179,13498,-23.650303
180,13572,-106.662415
181,13617,-17.545046
182,13632,-2.2045083
183,13658,-16.85772
