episodio,pasos,recompensa
1,18,86.58473
2,35,82.02335
3,52,82.40415
4,92,200.38963
5,109,82.02087
6,125,77.11301
7,150,126.71927
8,188,182.18826
9,209,104.65018
10,226,81.9092
11,244,86.980515
12,276,144.24321
13,297,103.5187
14,320,115.44187
15,349,143.08052
16,373,117.00949
17,395,109.43589
18,416,104.01307
19,437,103.351204
20,454,82.11607
21,470,77.05856
22,491,107.42948
23,509,88.02884
24,526,82.337166
25,543,81.77313
26,561,86.815674
27,579,86.909744
28,597,86.59806
29,614,81.770294
30,635,102.035645
31,664,148.4149
32,685,103.16084
33,708,113.66586
34,735,129.73553
35,754,93.73229
36,772,87.04481
37,790,87.56888
38,828,198.32391
39,847,92.05985
40,873,130.23062
41,891,86.8707
42,909,86.97265
43,926,81.97456
44,952,134.27911
45,977,123.13827
46,999,107.2836
47,1016,82.19726
48,1036,93.54934
49,1064,139.27815
50,1086,107.80115
51,1107,104.62003
52,1142,178.44547
53,1159,81.72406
54,1176,82.514275
55,1193,81.99785
56,1218,120.46782
57,1239,104.987366
58,1277,191.5467
59,1302,114.25009
60,1320,86.50859
61,1344,120.89173
62,1365,94.09714
63,1387,105.422874
64,1413,131.56215
65,1458,209.37274
66,1482,120.39904
67,1504,107.521225
68,1522,87.54084
69,1539,81.902695
70,1559,99.044334
71,1591,167.3304
72,1626,171.78749
73,1644,86.71414
74,1661,82.039246
75,1695,160.81659
76,1715,99.017715
77,1732,81.50469
78,1753,104.5072
79,1775,110.19911
80,1792,81.80896
81,1813,96.50624
82,1837,118.34364
83,1859,105.4889
84,1879,97.600975
85,1918,178.33548
86,1941,118.56452
87,1957,77.11339
88,1975,86.23172
89,1995,99.191605
90,2013,85.47308
91,2030,82.262436
92,2053,110.60575
93,2077,119.18249
94,2095,87.3839
95,2123,141.63486
96,2140,81.75598
97,2159,89.09135
98,2192,159.8492
99,2234,205.16827
100,2252,86.799644
101,2270,87.301414
102,2303,168.65636
103,2327,118.22356
104,2367,193.15378
105,2384,81.58041
106,2401,81.75617
107,2417,77.07122
108,2443,128.7205
109,2468,128.41943
110,2487,93.746666
111,2515,140.58932
112,2547,160.57387
113,2564,82.00061
114,2595,142.68668
115,2637,223.46878
116,2669,161.43994
117,2695,135.05376
118,2712,81.81181
119,2737,116.88762
120,2757,98.87052
121,2780,115.93622
122,2802,109.52584
123,2822,98.12821
124,2853,147.69562
125,2883,151.71098
126,2900,81.936066
127,2929,141.77818
128,2945,76.92362
129,2975,141.32343
130,3016,190.87758
131,3033,81.934586
132,3051,88.24737
133,3069,87.63015
134,3091,108.492966
135,3113,111.22046
136,3130,81.86092
137,3146,76.78967
138,3163,82.02311
139,3181,87.89225
140,3210,140.11061
141,3234,118.87243
142,3252,87.45347
143,3270,86.52635
144,3296,125.50109
145,3335,192.56934
146,3351,76.85416
147,3368,81.84401
148,3400,150.1572
149,3429,147.26047
150,3447,87.41586
151,3466,91.650696
152,3488,107.72543
153,3524,187.53943
154,3548,116.69868
155,3566,86.908745
156,3584,86.83001
157,3601,81.83236
158,3621,100.121056
159,3638,81.37358
160,3657,93.083084
161,3694,191.51633
162,3742,213.30132
163,3770,135.10352
164,3795,131.47913
165,3814,93.41349
166,3839,127.16374
167,3858,92.362335
168,3878,99.767456
169,3903,123.16024
170,3921,86.89223
171,3938,81.78189
172,3959,106.289085
173,3976,82.08308
174,3997,101.93059
175,4015,87.02042
176,4045,155.06555
177,4077,160.25829
178,4096,92.09264
179,4123,136.9676
180,4141,86.80572
181,4158,81.916306
182,4178,99.04323
183,4198,98.48137
184,4219,93.746445
185,4235,77.17403
186,4253,88.08107
187,4271,87.17716
188,4299,139.95189
189,4320,105.18444
190,4344,123.82648
191,4374,140.50858
192,4392,88.671486
193,4414,110.56447
194,4431,81.77248
195,4449,88.958954
196,4479,150.75356
197,4508,143.96135
198,4536,137.29272
199,4559,108.78299
200,4579,96.88315
201,4597,87.46921
202,4631,172.42758
203,4654,114.751335
204,4670,76.96657
205,4688,86.42248
206,4706,87.7933
207,4733,142.1155
208,4761,142.4943
209,4794,171.63152
210,4811,81.92441
211,4830,93.14124
212,4855,124.83496
213,4873,87.60481
214,4898,124.062584
215,4925,135.97775
216,4944,93.99958
217,4963,94.03527
218,4979,76.90739
219,4996,81.81983
220,5037,201.1882
221,5054,81.51061
222,5070,77.00682
223,5105,167.19563
224,5128,113.541985
225,5147,92.690544
226,5163,76.95251
227,5185,112.68688
228,5211,129.90816
229,5234,104.17316
230,5257,112.86348
231,5278,105.50083
232,5296,88.19858
233,5313,81.58379
234,5332,93.9779
235,5358,128.82687
236,5397,174.08867
237,5417,99.1974
238,5436,93.236145
239,5472,183.19565
240,5495,111.940765
241,5513,86.976166
242,5538,121.18532
243,5558,98.42921
244,5579,103.05766
245,5598,92.46469
246,5616,85.96653
247,5634,87.616844
248,5652,87.44487
249,5672,98.37613
250,5710,186.81778
251,5727,81.93176
252,5745,87.83867
253,5762,81.52761
254,5782,97.96872
255,5829,230.36858
256,5846,82.10844
257,5864,86.79992
258,5881,82.02323
259,5900,92.81748
260,5921,105.24897
261,5938,81.5504
262,5959,106.95761
263,5979,99.515724
264,5996,82.0356
265,6013,81.635956
266,6032,95.36312
267,6050,87.009575
268,6078,129.2407
269,6112,160.17899
270,6134,113.20387
271,6153,92.807816
272,6170,81.9749
273,6190,99.47805
274,6208,88.45623
275,6225,82.47183
276,6242,82.35602
277,6266,121.176765
278,6292,122.579926
279,6317,124.3599
280,6337,98.333565
281,6354,82.06337
282,6374,96.60786
283,6420,245.89821
284,6444,114.94456
285,6463,93.81833
286,6488,118.31681
287,6509,104.108536
288,6526,82.03748
289,6560,175.38922
290,6580,98.593346
291,6611,157.33908
292,6636,125.01253
293,6657,101.54644
294,6687,151.37599
295,6706,93.144615
296,6724,88.41552
297,6748,119.25402
298,6765,82.33637
299,6783,86.59805
300,6813,140.46071
301,6836,114.19468
302,6872,175.76976
303,6888,77.068695
304,6906,88.36579
305,6938,157.43683
306,6955,81.8706
307,7000,228.30406
308,7017,81.980125
309,7053,182.38713
310,7081,139.33783
311,7101,101.05393
312,7129,133.87675
313,7153,120.51079
314,7170,81.61216
315,7209,191.2816
316,7250,203.99591
317,7280,154.70117
318,7299,91.08379
319,7317,86.21102
320,7335,86.4155
321,7352,82.27463
322,7374,109.96702
323,7413,176.2436
324,7444,162.61192
325,7461,81.63145
326,7478,81.83893
327,7500,108.62849
328,7532,154.69638
329,7553,101.13453
330,7575,108.39766
331,7593,87.892006
332,7611,85.55104
333,7631,100.17578
334,7648,81.80497
335,7673,128.44499
336,7697,119.42698
337,7726,144.33163
338,7743,81.64321
339,7776,163.3854
340,7806,149.6645
341,7823,82.594536
342,7839,76.84082
343,7864,125.92423
344,7889,129.63774
345,7909,99.751884
346,7929,98.18986
