episodio,pasos,recompensa
1,18,87.242386
2,39,100.04917
3,69,151.74661
4,105,175.23749
5,133,133.43181
6,169,181.40912
7,187,86.42714
8,209,109.660385
9,226,81.34937
10,245,92.39389
11,265,99.73402
12,285,98.45746
13,319,172.61699
14,347,139.96939
15,368,103.27094
16,387,94.940544
17,405,86.492004
18,424,91.240036
19,443,93.67058
20,461,85.979095
21,487,127.70657
22,517,155.75531
23,534,81.420135
24,554,99.24471
25,570,76.5755
26,587,81.40563
27,604,80.984886
28,626,108.00982
29,654,131.56482
30,684,139.57883
31,715,143.45815
32,737,107.04812
33,761,113.366684
34,787,127.18716
35,806,94.01498
36,826,96.1256
37,850,119.41864
38,888,190.20863
39,905,81.413185
40,922,81.31167
41,939,81.32421
42,955,76.797356
43,974,88.50094
44,991,81.81897
45,1024,155.57283
46,1061,177.15273
47,1096,175.55829
48,1120,119.87382
49,1137,81.39282
50,1154,80.330475
51,1176,105.34706
52,1194,87.70209
53,1212,86.2148
54,1238,117.51146
55,1255,81.26743
56,1281,127.4986
57,1302,104.10471
58,1320,88.04877
59,1337,81.80376
60,1353,76.636536
61,1375,112.43411
62,1395,97.11389
63,1426,147.7565
64,1443,82.20305
65,1466,108.84672
66,1492,124.39715
67,1510,86.80351
68,1548,175.63734
69,1565,81.26738
70,1582,81.51073
71,1601,91.990654
72,1629,143.36395
73,1652,112.000824
74,1670,86.26358
75,1687,81.4589
76,1707,100.007935
77,1730,115.09881
78,1747,81.30926
79,1777,152.73354
80,1797,98.40396
81,1820,114.50523
82,1840,99.6638
83,1857,81.17069
84,1876,91.67857
85,1905,139.84717
86,1924,90.8056
87,1940,76.74305
88,1963,111.9052
89,1982,94.4034
90,2018,184.23457
91,2040,103.459694
92,2058,86.43188
93,2079,104.09585
94,2095,76.57945
95,2116,105.08602
96,2134,87.31199
97,2156,109.77048
98,2177,104.91131
99,2196,91.584984
100,2223,130.08998
101,2240,81.32513
102,2257,81.69256
103,2279,103.70751
104,2295,76.54231
105,2319,121.23028
106,2335,76.31098
107,2362,133.78065
108,2399,182.61801
109,2416,81.60431
110,2437,104.56758
111,2461,113.86261
112,2507,229.47975
113,2538,153.71106
114,2555,81.142815
115,2575,98.01763
116,2594,92.7151
117,2613,92.939674
118,2633,96.888756
119,2653,97.05794
120,2670,81.49628
121,2699,141.89153
122,2716,81.44903
123,2758,216.59026
124,2775,81.42999
125,2817,203.087
126,2834,82.09711
127,2854,102.83101
128,2871,81.101555
129,2887,76.71124
130,2904,81.103165
131,2921,81.284325
132,2939,87.41427
133,2955,76.53798
134,2972,81.26842
135,2990,86.24664
136,3011,95.859215
137,3039,137.33255
138,3056,81.35306
139,3073,81.093
140,3095,110.88814
141,3121,128.19028
142,3138,81.406525
143,3159,100.09155
144,3185,125.22123
145,3213,137.55305
146,3236,110.12389
147,3253,81.39641
148,3271,87.24771
149,3300,139.9555
150,3319,92.09005
151,3338,92.84323
152,3362,114.33213
153,3394,154.7739
154,3418,118.29778
155,3438,95.90714
156,3471,167.64023
157,3489,86.25138
158,3509,99.042366
159,3537,129.74512
160,3554,81.605644
161,3571,81.52772
162,3597,127.47568
163,3618,103.815186
164,3636,88.109276
165,3660,116.849365
166,3679,91.81443
167,3704,114.00986
168,3723,91.48346
169,3740,81.588806
170,3763,111.00717
171,3793,151.37279
172,3814,101.190414
173,3831,81.399605
174,3852,101.562325
175,3869,81.60167
176,3887,86.92214
177,3906,93.49221
178,3922,76.41918
179,3955,162.19046
180,3974,91.85623
181,3992,86.8739
182,4016,113.19111
183,4034,85.21524
184,4066,155.0879
185,4085,92.56723
186,4102,81.39039
187,4119,81.22291
188,4138,90.17018
189,4168,152.4231
190,4197,132.82822
191,4220,113.730354
192,4236,76.92691
193,4263,118.13688
194,4298,172.24333
195,4314,76.65962
196,4343,146.37045
197,4376,163.33069
198,4404,134.88376
199,4420,76.21187
200,4439,93.211
201,4463,119.11298
202,4482,93.048744
203,4501,90.72534
204,4523,105.526115
205,4548,122.72944
206,4578,147.53552
207,4595,81.33334
208,4612,82.868385
209,4630,86.811134
210,4655,121.23072
211,4672,81.54754
212,4699,133.27097
213,4726,121.36017
214,4749,114.160866
215,4767,86.28111
216,4795,133.63222
217,4813,86.506935
218,4835,108.5597
219,4852,81.28076
220,4883,156.7642
221,4905,107.30441
222,4930,129.2911
223,4949,91.81336
224,4965,76.798325
225,4982,81.52448
226,5004,106.00893
227,5021,81.253525
228,5050,132.8533
229,5067,81.36002
230,5089,108.64812
231,5105,76.37742
232,5134,148.8822
233,5163,135.43668
234,5186,111.67767
235,5206,96.84805
236,5222,76.42571
237,5246,117.717636
238,5263,81.183136
239,5305,217.27017
240,5322,81.54159
241,5339,81.84397
242,5381,205.47067
243,5398,81.01997
244,5431,162.23145
245,5467,175.49043
246,5487,97.725296
247,5521,157.47308
248,5553,155.33078
249,5572,92.10647
250,5589,81.4931
251,5606,81.422325
252,5632,115.73667
253,5661,146.20439
254,5695,172.0156
255,5714,92.268845
256,5730,76.387024
257,5750,95.263626
258,5765,71.782295
259,5782,81.66163
260,5806,120.95301
261,5822,76.45093
262,5839,81.22459
263,5867,136.37624
264,5897,131.03568
265,5934,177.48845
266,5956,106.270546
267,5982,131.02892
268,6007,127.11519
269,6030,110.64256
270,6046,76.496994
271,6069,108.88022
272,6090,100.21469
273,6117,128.1992
274,6137,96.7168
275,6155,88.32177
276,6174,93.11528
277,6192,86.596695
