episodio,pasos,recompensa
1,112,-120.95028
2,146,-44.010803
3,181,-42.036884
4,302,-46.38111
5,320,-17.020876
6,371,-30.84587
7,391,7.0253267
8,408,-0.25710046
9,482,-20.786488
10,560,-135.20444
11,1560,-1034.3224
12,1618,-81.7622
13,1728,-192.46461
14,1749,-22.246105
15,1821,-60.941044
16,1839,-9.586874
17,1869,-22.661282
18,1903,-57.871338
19,1916,-9.301885
20,2011,-145.00491
21,2075,-103.97804
22,2092,-28.345518
23,2166,-54.146946
24,2237,-84.58773
25,2274,-8.753224
26,2912,-649.09283
27,2921,-7.584808
28,3017,-46.36657
29,3044,-35.554
30,3136,-165.24622
31,3152,-27.48245
32,3375,-172.33913
33,3398,-18.084356
34,3426,-19.15013
35,3520,-101.35436
36,3552,5.6525955
37,3596,-68.21472
38,3635,-81.02536
39,3705,-57.58453
40,3776,-102.04601
41,3865,-62.809357
42,3930,-28.63057
43,3959,-34.93097
44,4017,-99.36311
45,4061,-57.718254
46,4079,-20.035496
47,4113,-24.498995
48,4148,-32.636677
49,4170,-13.413295
50,4221,-59.62476
51,4257,-52.270695
52,4293,-14.230696
53,4328,-62.16427
54,4390,-42.96979
55,4422,-30.322191
56,4584,-125.23404
57,4786,-199.28656
58,4852,-76.96687
59,4876,-4.337746
60,4943,-62.76531
61,4974,-65.46923
62,5045,-24.129875
63,5085,-8.608835
64,5136,-27.889322
65,5193,-56.500797
66,5221,9.311246
67,5438,-199.2644
68,5494,-109.1312
69,5590,-85.37606
70,5653,-55.17373
71,5716,-73.58678
72,5737,-41.550617
73,5756,-20.460192
74,5776,-2.4238925
75,5901,-91.54557
76,5954,-40.320568
77,6032,-22.854712
78,6066,-15.325405
79,6124,-36.212254
80,6235,-121.28453
81,6262,-44.144142
82,6285,-16.646902
83,6310,-48.630665
84,6431,-160.04556
85,6463,-45.759964
86,6513,-54.485397
87,6527,-14.216476
88,6549,-27.126936
89,6600,-60.55374
90,6620,-20.866522
91,6671,-72.0562
92,6712,-67.21511
93,6732,-23.335926
94,6750,-9.5796995
95,6784,-12.582748
96,6815,-48.280342
97,6898,-46.599075
98,6934,-15.314124
99,6978,-25.979824
100,6998,-18.836956
101,7013,-8.331933
102,7030,-17.8846
103,7043,-1.3869044
104,8043,-983.0043
105,8193,-167.70735
106,9193,-897.7153
107,9244,-16.854212
108,9272,9.284771
109,9284,-17.017492
110,9363,-58.09092
111,9378,-13.021022
112,9410,-71.80203
113,10410,-1011.4057
114,10517,-69.66623
115,10548,-15.534435
116,10574,-38.305286
117,10609,-23.810856
118,10641,-29.16108
119,10702,-86.724945
120,10730,-41.21934
121,10748,-6.770852
122,11748,-977.74554
123,11809,-10.175061
124,11831,-28.38013
125,12831,-996.311
126,12840,-7.570556
127,12880,-69.63305
128,13057,-215.26372
129,13095,-60.454834
130,13113,-36.873165
131,13126,-14.803741
132,13162,-56.524445
133,13192,-44.57028
134,13221,-20.827925
135,13238,-16.839245
136,13297,-62.67976
137,13328,-35.789455
138,13509,-207.94984
139,13547,-17.857393
140,13583,-24.454815
141,13606,-12.936665
142,13633,-6.6660495
143,13707,-101.4063
144,13752,-32.658184
145,13840,-65.85021
146,13958,-117.50022
147,14958,-976.72534
148,15958,-906.63837
149,16057,-118.078995
150,16154,-117.32651
151,16268,-152.29758
152,16282,-21.509817
153,16311,-22.714357
154,17311,-936.37604
155,17326,-18.715366
156,17536,-182.30606
157,17548,-18.47891
158,17575,-21.180143
159,17609,-28.629206
160,17622,-10.956427
161,17632,-8.297354
162,17651,-26.692507
163,17662,-12.023317
164,17687,-22.128202
165,17871,-179.5818
166,18871,-830.4107
167,18929,-35.2884
168,18958,5.202881
169,18993,-29.555557
170,19058,3.914406
171,20058,-944.2268
172,20114,-72.40799
173,21114,-911.3002
174,22114,-815.81647
175,22842,-606.1235
176,22861,0.25863707
177,22877,-20.725805
178,22956,-99.94931
179,23026,-70.69255
180,23047,-7.685876
181,23062,-4.345167
182,23085,-13.879955
183,23103,-10.457762
184,23182,-106.70717
185,23223,-38.461433
186,23250,-3.8762088
187,23268,-6.1848855
188,24268,-881.3691
189,24349,-42.21526
190,25349,-819.0836
191,26349,-898.93494
192,26403,-57.383976
193,26437,-40.525402
194,26459,-24.555836
195,26480,1.2823231
196,26586,-106.934166
197,26649,-49.575882
198,26700,-2.3909576
199,27700,-872.0027
200,27710,-11.294216
201,27779,-56.985012
202,27868,-88.840866
203,27992,-32.45226
204,28012,-7.9946094
205,28116,-99.35114
206,28132,-12.088128
207,28151,-16.285603
208,28184,-22.391733
209,28302,-85.063675
210,28322,-32.069614
211,28469,-79.425804
