episodio,pasos,recompensa
1,22,2.722382
2,47,2.3403697
3,62,1.8175402
4,73,-4.2149158
5,96,-7.450138
6,103,-5.1632204
7,136,6.4094276
8,153,-3.1263928
9,180,0.969015
10,192,-5.107049
11,202,-0.14758176
12,242,9.368851
13,269,16.666279
14,306,0.16074103
15,321,5.8467407
16,339,3.5806355
17,365,-1.9945481
18,386,-1.9579812
19,404,8.005467
20,420,0.47753066
21,451,6.994236
22,463,2.9939022
23,479,0.69679725
24,502,-3.673099
25,514,2.2974455
26,529,-4.001431
27,536,-4.785306
28,547,-0.26613134
29,573,1.2637726
30,596,6.6741986
31,612,1.3935189
32,626,3.102458
33,658,3.4754303
34,676,0.7382676
35,685,-5.112428
36,708,8.269251
37,728,-7.5311685
38,740,-3.4147542
39,765,-0.69739103
40,781,-5.951551
41,803,4.632702
42,822,-1.8593527
43,829,-4.786653
44,844,0.80534863
45,857,-1.4977708
46,878,4.969783
47,904,4.855058
48,916,-2.5410917
49,945,16.581373
50,966,0.29964864
51,989,-4.65536
52,1003,0.58265287
53,1015,-1.8145224
54,1042,-1.7769333
55,1071,1.0045635
56,1094,-7.4517226
57,1111,-1.049895
58,1127,-0.24819358
59,1139,0.045322627
60,1156,-5.466399
61,1180,2.5440478
62,1191,-3.4921775
63,1207,-2.6302419
64,1215,-1.9108853
65,1239,8.306057
66,1269,-3.4172406
67,1285,3.4189732
68,1304,1.4650902
69,1316,-6.107784
70,1335,2.8680825
71,1351,2.2605667
72,1368,1.3940299
73,1392,3.5524654
74,1406,-4.725634
75,1424,-9.919522
76,1445,-3.2200174
77,1464,-3.470409
78,1471,-3.2291002
79,1485,-2.0147905
80,1504,-4.2414417
81,1525,3.1630216
82,1564,10.916389
83,1575,-2.0583355
84,1589,-4.0619416
85,1603,-0.86636406
86,1624,-3.0506396
87,1646,-0.8440617
88,1672,-2.1040711
89,1688,-2.0241697
90,1701,2.1178157
91,1717,2.1140544
92,1741,7.321427
93,1751,0.44708315
94,1765,0.72315794
95,1777,-1.0064827
96,1788,-0.99931324
97,1801,-0.4889016
98,1814,-2.2306077
99,1832,-14.589433
100,1847,-1.3813977
101,1877,6.8647914
102,1894,4.3050103
103,1916,2.7603765
104,1941,-2.650655
105,1963,-5.874041
106,1979,5.5357943
107,1993,1.8117357
108,2015,-4.918724
109,2035,8.734466
110,2045,-1.5149364
111,2077,12.303266
112,2106,-2.9596777
113,2120,-1.0108663
114,2131,-0.7448282
115,2146,-0.35164833
116,2162,2.2041276
117,2184,1.9302324
118,2196,2.3162038
119,2209,3.6035457
120,2229,6.1080074
121,2259,7.303385
122,2276,3.6409583
123,2288,0.6418531
124,2317,7.8345604
125,2332,-0.67572194
126,2345,-4.1145697
127,2356,-1.5113184
128,2370,-4.25054
129,2386,0.5530012
130,2412,8.028113
131,2430,1.7064674
132,2453,-0.11259103
133,2471,0.10867271
134,2483,0.26134706
135,2511,-1.0701258
136,2526,-3.2539506
137,2542,3.908918
138,2593,17.45561
139,2610,5.672111
140,2647,5.9808025
141,2668,2.4159193
142,2678,0.774127
143,2725,7.0319233
144,2743,2.649185
145,2765,7.126292
146,2776,-3.487932
147,2790,4.154702
148,2817,0.40853208
149,2827,-3.9160342
150,2883,26.798367
151,2892,-2.6670728
152,2912,9.952606
153,2923,-0.08855915
154,2935,2.5433052
155,2956,-2.658183
156,2978,-3.4847107
157,3026,18.866396
158,3040,2.7824864
159,3083,9.494359
160,3100,6.7228084
161,3126,-1.8184621
162,3174,15.667055
163,3194,-3.214284
164,3210,-5.018065
165,3228,4.023183
166,3240,-1.475727
167,3263,7.94938
168,3276,0.47157508
169,3298,2.0293999
170,3313,-0.58838654
171,3331,-5.2973638
172,3345,2.8766363
173,3361,6.3167815
174,3390,1.3044245
175,3403,2.2288508
176,3449,-3.991697
177,3464,-0.5505376
178,3478,4.252028
179,3511,8.1799345
180,3530,-2.805996
181,3550,4.579883
182,3572,1.4986929
183,3585,0.6714813
184,3618,10.168311
185,3642,-4.126213
186,3655,4.3236513
187,3673,7.4340553
188,3696,3.5678196
189,3711,-0.17615776
190,3726,-7.18671
191,3745,5.513699
192,3763,3.0018725
193,3778,1.822471
194,3805,-3.917959
195,3839,5.9769397
196,3853,2.0974803
197,3870,4.0400953
198,3880,1.2389407
199,3910,4.3649864
200,3933,0.7682893
201,3953,4.19288
202,3962,-4.1423388
203,4002,11.125661
204,4019,-1.3998216
205,4035,4.153575
206,4067,10.470942
207,4079,0.9971335
208,4123,8.109024
209,4167,18.813175
210,4186,-4.237027
211,4209,6.0979586
212,4269,14.528048
213,4281,-1.8295159
214,4295,2.518418
215,4317,-4.9355936
216,4328,-3.7769158
217,4353,11.160242
218,4380,8.298778
219,4410,12.596131
220,4425,-4.3032594
221,4451,10.209678
222,4465,2.8635094
223,4545,23.288532
224,4560,-0.40016133
225,4573,3.3945227
226,4601,11.303444
227,4623,6.65468
228,4638,6.3030815
229,4715,51.28645
230,4738,9.436754
231,4751,0.8390813
232,4763,2.39795
233,4786,8.013206
234,4814,11.402028
235,4828,-4.597794
236,4851,9.281227
237,4870,2.031583
238,4887,-0.32034713
239,4931,16.19342
240,4944,1.9056461
241,4971,-1.0612991
242,5057,1.3029163
243,5082,14.272864
244,5097,5.657705
245,5119,1.4828852
246,5131,3.1458256
247,5210,9.748699
248,5243,7.6899962
249,5269,1.0607561
250,5292,8.8149185
251,5332,16.818844
252,5376,8.583227
253,5395,-3.2770193
254,5448,20.98893
255,5471,9.761079
256,5490,4.5283327
257,5504,0.27355295
258,5515,1.2479942
259,5529,1.974867
260,5599,-1.925385
261,5642,15.350302
262,5661,6.552452
263,5676,2.7291954
264,5711,14.870106
265,5742,7.419618
266,5765,-2.856921
267,5791,8.979126
268,5800,-4.3013024
269,5831,12.856199
270,5872,13.2407875
271,5898,5.277158
272,5929,13.9863825
273,5947,3.9861012
274,5971,9.843425
275,6009,9.234372
276,6059,10.849031
277,6128,20.898481
278,6151,6.428044
279,6168,-6.8721933
280,6224,5.63072
281,6239,-1.4629692
282,6288,1.5030398
283,6324,19.200869
284,6361,6.586993
285,6373,2.838039
286,6453,-6.759432
287,6468,1.8523544
288,6530,31.69705
289,6581,0.019414186
290,6609,17.91544
291,6620,-1.1276318
292,6639,-0.035089403
293,6719,58.524693
294,6757,12.197913
295,6842,37.069706
296,6926,13.14024
297,6940,3.810093
298,6964,5.7070913
299,6984,-1.1177913
300,7004,2.43474
301,7072,55.09038
302,7089,2.9094603
303,7126,9.227219
304,7149,11.606512
305,7181,17.734814
306,7227,15.092306
307,7275,21.885492
308,7330,28.718664
309,7350,-1.7781851
310,7397,9.936641
311,7439,6.416181
312,7515,24.882603
313,7555,12.00758
314,7567,0.94028723
315,7604,4.0978603
316,7643,14.132821
317,7672,8.401083
318,7715,11.669143
319,7747,17.389364
320,7767,4.0729313
321,7783,5.4388614
322,7814,11.411583
323,7849,2.7510252
324,7901,44.54485
325,7982,35.459354
326,7995,1.5082415
327,8016,5.5142927
328,8047,10.516499
329,8101,-1.8992639
330,8200,91.79803
331,8258,23.49838
332,8301,31.85275
333,8361,33.91626
334,8386,12.709227
335,8410,2.607987
336,8536,164.90604
337,8590,24.749088
338,8622,7.2825956
339,8682,58.318424
340,8749,11.2021885
341,8794,12.705944
342,8829,19.187517
343,8908,29.179462
344,8999,-9.469526
345,9079,50.249046
346,9159,18.22289
347,9186,17.303686
348,9221,12.162413
349,9238,2.3912818
350,9273,-1.92078
351,9353,11.995537
352,9377,12.683624
353,9545,214.8678
354,9594,20.17309
355,9622,11.238389
356,9682,10.133539
357,9753,7.505456
358,9794,10.956722
359,9834,20.429125
360,9903,49.548424
361,9957,28.003588
362,10041,51.91143
363,10073,11.871625
364,10144,-7.4097323
365,10167,12.012462
366,10346,33.96701
367,10369,11.320603
368,10462,42.700726
369,10544,77.18046
370,10599,36.9112
371,10680,1.9777327
372,10713,17.100624
373,10788,32.956036
374,10865,38.643402
375,10909,13.790491
376,10989,72.90245
377,11140,164.46872
378,11222,27.718193
379,11311,69.197876
