episodio,pasos,recompensa
1,17,-5.712708
2,36,-8.9267845
3,61,5.1393905
4,84,-12.3095
5,99,-4.135912
6,123,0.9109328
7,145,-13.988102
8,160,0.31068125
9,178,5.859654
10,199,-12.830508
11,229,-2.9515042
12,245,4.2822165
13,266,-8.788044
14,291,-13.129496
15,307,3.3347368
16,331,-7.974929
17,346,2.9755898
18,369,-1.5185905
19,391,-13.8748865
20,403,0.4210949
21,417,2.7777019
22,432,0.81957614
23,458,4.5229735
24,475,0.202209
25,503,-6.050558
26,524,-13.504118
27,547,-12.569376
28,569,-13.790846
29,594,-6.0524764
30,611,-3.992765
31,626,1.9229814
32,651,0.61771727
33,669,4.7311754
34,697,-3.5079308
35,722,9.019025
36,746,2.1431851
37,767,-0.77003044
38,798,1.6691868
39,826,-2.5509307
40,838,0.7092347
41,864,-4.127838
42,883,-8.316993
43,908,3.9781566
44,930,-14.880413
45,957,8.408191
46,979,-11.095743
47,990,-1.0340415
48,1013,-3.1796699
49,1036,0.14071295
50,1058,-13.521476
51,1080,-13.082835
52,1105,-8.392397
53,1135,-1.9980215
54,1158,-10.0616
55,1174,3.9151914
56,1200,-1.3419716
57,1218,-4.3693876
58,1237,-4.2173867
59,1260,2.6262667
60,1275,-0.45989984
61,1291,-4.386789
62,1307,-3.4365134
63,1320,2.5785358
64,1345,-8.3870945
65,1358,3.0630178
66,1382,-11.5799465
67,1409,2.596205
68,1435,1.7629964
69,1458,-12.303557
70,1486,-3.7642307
71,1519,-4.4841356
72,1547,-8.353415
73,1573,-6.213472
74,1599,9.0642395
75,1614,1.1749649
76,1632,-8.263874
77,1646,2.8836975
78,1671,-1.2916421
79,1694,-12.193268
80,1716,-10.769338
81,1735,-3.900477
82,1750,4.487523
83,1765,0.7102711
84,1785,9.286238
85,1799,2.822281
86,1820,-14.073213
87,1842,-11.718746
88,1866,3.303679
89,1882,2.2021012
90,1906,4.720121
91,1920,0.7674192
92,1969,1.1117811
93,1990,-1.7819297
94,2015,-1.8683897
95,2036,10.1317625
96,2056,-0.42229587
97,2072,1.784566
98,2086,-4.9714055
99,2102,0.34701607
100,2118,-1.5954671
101,2132,-5.5365067
102,2146,-3.905219
103,2162,-2.5316412
104,2178,0.2852825
105,2194,-1.9910482
106,2209,-1.3203027
107,2223,-3.6052666
108,2239,0.14146137
109,2259,5.3806086
110,2275,-3.1680405
111,2290,-1.5946155
112,2304,-4.0691214
113,2318,-5.498391
114,2335,0.045723498
115,2351,-2.3346484
116,2364,-3.5142379
117,2378,-5.091437
118,2391,-3.6836534
119,2404,-4.040834
120,2420,-2.2239144
121,2433,-3.9213588
122,2447,-4.3011274
123,2461,-5.418742
124,2478,0.118599
125,2503,-3.4196587
126,2517,-5.7347965
127,2531,-5.8295913
128,2548,-0.7658413
129,2562,-3.168499
130,2582,5.3455334
131,2598,2.5352921
132,2613,-2.6264849
133,2629,-1.6238081
134,2644,-1.7039725
135,2658,-5.344927
136,2671,-4.1081543
137,2685,-6.0194755
138,2698,-4.143388
139,2711,-4.18518
140,2725,-4.258193
141,2742,0.2871198
142,2758,-5.210883
143,2772,-5.4617286
144,2789,0.07464886
145,2805,3.039678
146,2821,-2.4696994
147,2837,-2.324342
148,2854,-1.0941062
149,2868,-5.6581373
150,2882,-5.1387277
151,2896,-4.158901
152,2910,-5.7639637
153,2926,-1.6829216
154,2940,-4.3764386
155,2956,-4.5638304
156,2970,-5.203184
157,2984,-4.919938
158,3000,-2.4090376
159,3014,-4.5835447
160,3027,-3.7521412
161,3041,-3.982525
162,3055,-4.4068346
163,3068,-4.156482
164,3084,-2.3107567
165,3098,-5.452608
166,3112,-4.446229
167,3127,-2.7229817
168,3143,-2.803197
169,3157,-5.346026
170,3171,-4.973306
171,3185,-5.522734
172,3199,-5.3674173
173,3216,2.6053843
174,3232,0.19131684
175,3246,-5.4483204
176,3263,2.6503673
177,3276,-3.7634857
178,3290,-4.343625
179,3304,-5.8470545
180,3318,-5.4133644
181,3333,-1.818341
182,3347,-5.3375096
183,3364,0.111695886
184,3379,-1.2390486
185,3393,-4.1122136
186,3407,-5.8948445
187,3423,-2.2450109
188,3440,0.15948063
189,3454,-4.65354
190,3470,-4.1510024
191,3484,-5.9431906
192,3498,-4.1064334
193,3511,-3.7849894
194,3525,-5.588839
195,3541,0.050248384
196,3557,4.5973535
197,3571,-5.5714664
198,3585,-5.329132
199,3599,-5.2781644
200,3612,-4.0683784
201,3626,-4.2754726
202,3641,-1.0943196
203,3658,-0.030565798
204,3674,-2.2982366
205,3690,-1.8507931
206,3704,-3.2113962
207,3719,-5.066251
208,3733,-2.1987839
209,3747,-5.619823
210,3761,-4.701397
211,3778,-0.33784324
212,3792,-5.1536593
213,3808,-2.2739758
214,3826,-4.1095185
215,3840,-4.7690306
216,3857,2.948601
217,3871,-4.152636
218,3885,-5.707259
219,3899,-5.755186
220,3913,-5.510223
221,3929,-0.12749559
222,3945,1.3188306
223,3961,0.1032756
224,3974,-3.8671153
225,3988,-4.318468
226,4002,-5.065459
227,4018,-0.28952625
228,4035,0.14682806
229,4051,-2.1691825
230,4065,-4.8726892
231,4079,-5.231131
232,4093,-2.2066264
233,4125,5.1467276
234,4147,-14.496902
235,4167,-12.20259
236,4189,-14.440355
237,4210,-14.272857
238,4231,-13.730963
239,4252,-14.351837
240,4273,-14.818077
241,4294,-13.473295
242,4315,-14.445109
243,4336,-14.32653
244,4357,-13.688093
245,4379,-15.278962
246,4401,-14.530737
247,4422,-14.409216
248,4443,-13.432258
249,4464,-13.525296
250,4486,-14.445031
251,4508,-14.214741
252,4529,-12.637489
253,4551,-16.108053
254,4572,-14.286608
255,4594,-15.401501
256,4614,-12.036447
257,4636,-15.409858
258,4657,-13.358505
259,4679,-14.832196
260,4700,-13.452734
261,4722,-15.668354
262,4743,-14.183283
263,4764,-14.5479355
264,4785,-13.590628
265,4806,-14.448848
266,4828,-14.811411
267,4850,-14.756801
268,4871,-14.573112
269,4892,-14.347889
270,4913,-13.542432
271,4933,-12.07119
272,4954,-14.731015
273,4975,-14.23821
274,4996,-14.564714
275,5018,-14.316831
276,5038,-11.813645
277,5059,-14.299928
278,5081,-14.625667
279,5102,-14.564264
280,5124,-14.138184
281,5145,-14.165207
282,5167,-15.750724
283,5188,-14.429857
284,5209,-14.762632
285,5230,-14.206618
286,5252,-15.352594
287,5274,-14.56444
288,5295,-14.340242
289,5317,-14.904645
290,5339,-15.310082
291,5360,-14.718935
292,5382,-14.205172
293,5403,-14.465681
294,5424,-14.487655
295,5445,-14.086409
296,5466,-14.095726
297,5488,-15.094358
298,5509,-13.868699
299,5531,-13.234886
300,5552,-13.967001
301,5573,-14.427445
302,5594,-14.131706
303,5615,-13.897211
304,5637,-14.650348
305,5659,-14.512384
306,5680,-14.235254
307,5702,-14.328575
308,5723,-14.32853
309,5744,-14.313924
310,5765,-13.675702
311,5786,-14.31041
312,5807,-13.728966
313,5828,-13.984421
314,5849,-14.585146
315,5871,-14.242586
316,5892,-14.21119
317,5913,-13.6032295
318,5935,-14.810009
319,5956,-14.654011
320,5975,-14.679361
321,5996,-13.713944
322,6018,-14.839885
323,6039,-13.639739
324,6060,-14.305814
325,6081,-14.329825
326,6102,-14.47678
327,6123,-14.260626
328,6144,-13.699081
329,6166,-5.5336084
330,6187,-6.463318
331,6205,-10.299914
332,6224,-6.096468
333,6245,-7.6484203
334,6263,-6.758361
335,6281,-7.3434
336,6295,-6.612476
