episodio,pasos,recompensa
1,58,-100.404175
2,218,-189.77238
3,301,-68.30846
4,316,-24.802807
5,405,-87.81357
6,431,-30.740942
7,1431,-1125.3055
8,1543,-125.02699
9,1573,-48.862606
10,1595,-33.23665
11,1628,-65.79498
12,1643,-20.769285
13,1675,-57.816444
14,2675,-1019.2916
15,2696,-31.876747
16,2733,-35.2737
17,2771,-25.886425
18,2892,-138.83842
19,2922,-20.378614
20,2990,-71.05876
21,3010,-8.260786
22,3175,-143.66832
23,3243,-76.713905
24,3267,-23.85966
25,3309,-59.72586
26,3476,-257.77884
27,3492,-28.781853
28,3504,-10.481227
29,3724,-209.54472
30,3777,-9.9123335
31,3787,-2.2553265
32,4787,-1015.3978
33,4820,-30.180666
34,4846,-28.285791
35,4867,-19.620728
36,4885,-11.435734
37,4902,-17.220726
38,4972,-65.78694
39,5004,-32.619972
40,5096,-83.12022
41,6096,-1110.6401
42,6200,-64.31326
43,6324,-207.8492
44,6394,-64.40189
45,6525,-246.71672
46,6548,-20.554134
47,6577,-43.255413
48,6587,-13.857404
49,6678,-58.2443
50,6754,-49.046936
51,6800,-58.891396
52,6859,-60.705444
53,6923,-68.34027
54,6987,-55.7734
55,7009,-35.762722
56,7027,-6.335043
57,7063,-46.583
58,7090,-28.58751
59,7154,-14.523247
60,7206,-71.86453
61,7229,-25.299015
62,7411,-247.79625
63,7427,-11.8272085
64,7441,-6.0446672
65,7454,-7.454961
66,7480,-43.120304
67,7560,-101.83873
68,7650,-150.0319
69,7691,-48.936905
70,7708,1.3410909
71,7881,-155.59407
72,7904,-39.213524
73,7928,-45.446182
74,7981,-55.664764
75,8044,-52.289024
76,8063,-25.342678
77,8105,3.3266554
78,8126,-28.119045
79,8145,-22.53333
80,8190,-38.73662
81,8279,-100.63287
82,8291,-24.53213
83,8328,-61.874283
84,8365,-38.926456
85,8409,-83.827194
86,8431,-25.912554
87,8461,-50.563313
88,8476,-22.941435
89,8505,-27.869242
90,8531,-21.090921
91,8757,-318.73456
92,8800,6.4295387
93,8815,-25.172617
94,8863,-68.97484
95,8895,-5.0776596
96,8912,-17.229227
97,8945,-41.725246
98,9000,-49.570644
99,9017,-15.29533
100,9071,-25.276335
101,9102,-38.46304
102,9139,-41.934425
103,9166,-35.215294
