episodio,pasos,recompensa
1,24,-44.41391
2,50,-62.267178
3,64,-27.82321
4,81,-37.045177
5,95,-21.51765
6,125,-109.29743
7,136,-27.152672
8,163,-64.89445
9,187,-29.760057
10,708,-1339.3254
11,720,-21.443062
12,739,-16.524446
13,758,-53.000664
14,769,-40.90199
15,821,-214.12029
16,860,-87.36873
17,887,-69.062355
18,903,-46.58542
19,935,-87.14271
20,949,-34.056942
21,964,-41.076477
22,995,-89.87259
23,1014,-44.514854
24,1040,-71.69142
25,1054,-26.03558
26,1082,-83.79173
27,1107,-42.05401
28,1126,-33.42582
29,1136,-29.107265
30,1154,-30.333399
31,1170,-43.868855
32,1190,-36.103855
33,1207,-43.2064
34,1221,-36.126633
35,1255,-98.4825
36,1311,-152.69778
37,1321,-29.848186
38,1361,-79.6607
39,1377,-28.347126
40,1390,-37.80038
41,1407,-33.641407
42,1421,-50.82127
43,1953,-1417.2056
44,1961,-17.419846
45,1975,-37.771957
46,1990,-37.934948
47,2034,-116.30578
48,2046,-31.311766
49,2084,-71.589005
50,2094,-29.312159
51,2113,-63.793243
52,2132,-32.839203
53,2146,-29.236753
54,2169,-41.771038
55,2178,-19.954006
56,2227,-145.71344
57,2243,-34.10344
58,2300,-165.91801
59,2310,-30.628717
60,2341,-94.95733
61,2362,-70.96861
62,2371,-20.119858
63,2398,-90.565384
64,2408,-36.505768
65,2433,-73.32681
66,2449,-47.756645
67,2466,-40.99431
68,2475,-20.718962
69,2496,-53.928757
70,2505,-23.388481
71,2533,-39.287853
72,2549,-41.037415
73,2560,-32.63238
74,2569,-26.496384
75,2589,-48.034122
76,2601,-29.385286
77,2635,-71.791245
78,2645,-17.92729
79,2663,-58.445393
80,2700,-85.34364
81,2730,-57.024582
82,2754,-76.10059
83,2770,-45.45948
84,2799,-42.180054
85,2809,-32.60739
86,2819,-28.729622
87,2832,-35.05566
88,2878,-139.57216
89,2894,-24.10236
90,2915,-55.464462
91,2941,-78.266396
92,2952,-16.344685
93,2983,-82.85693
94,3030,-141.50317
95,3052,-58.87276
96,3065,-32.571693
97,3076,-32.820324
98,3086,-32.47659
99,3095,-27.322102
100,3122,-48.25614
101,3134,-21.783531
102,3177,-162.34177
103,3211,-95.31575
104,3228,-53.31557
105,3244,-45.190823
106,3268,-67.05161
107,3295,-70.551216
108,3325,-39.664124
109,3336,-19.623016
110,3349,-32.38525
111,3365,-47.427223
112,3393,-87.52447
113,3455,-143.7199
114,3468,-28.696424
115,3490,-44.70291
116,3508,-55.56929
117,3524,-42.59367
118,3537,-32.640385
119,3549,-34.36143
120,3563,-29.078457
121,3600,-115.437454
122,3622,-74.130486
123,3631,-21.630655
124,3643,-31.926752
125,3659,-43.01379
126,3686,-74.26191
127,3706,-54.04333
128,3717,-32.10247
129,3747,-88.576836
130,3774,-71.51247
131,3783,-24.897795
132,3808,-47.01225
133,3823,-32.63262
134,3840,-38.03666
135,3862,-53.979168
136,3900,-121.08235
137,3912,-34.983433
138,3923,-25.75333
139,3948,-50.21819
140,3962,-43.79249
141,3972,-23.364685
142,4105,-402.81702
143,4123,-25.908947
144,4137,-45.85277
145,4178,-82.105064
146,4208,-118.52607
147,4229,-53.36207
148,4251,-73.40586
149,4268,-48.162415
150,4297,-75.84162
151,4312,-36.677113
152,4331,-42.410538
153,4375,-85.94577
154,4386,-26.35144
155,4420,-134.15663
156,4446,-63.014423
157,4461,-28.444374
158,4473,-28.0913
159,4499,-45.75137
160,4515,-47.215973
161,4528,-39.445297
162,4560,-17.206799
163,4600,-120.95575
164,4628,-56.07084
165,4652,-44.765503
166,4663,-24.419247
167,4673,-27.133383
168,4700,-71.85272
169,4712,-30.908506
170,4759,-131.33072
171,4772,-41.812378
172,4814,-104.30888
173,4873,-153.39255
174,4885,-23.774826
175,4905,-45.871975
176,4944,-74.47174
177,4956,-23.218103
178,4969,-33.820732
179,4986,-16.563345
180,4999,-29.547998
181,5014,-36.550617
182,5027,-28.818508
183,5049,-43.85208
184,5065,-17.324615
185,5081,-59.045116
186,5097,-44.46379
187,5151,-168.28241
188,5206,-132.98657
189,5230,-62.645184
190,5247,-49.147713
191,5262,-32.369995
192,5287,-56.466248
193,5298,-22.985525
194,5322,-65.00882
195,5340,-39.380024
196,5351,-21.594824
197,5398,-105.1051
198,5424,-56.897728
199,5435,-25.09269
200,5452,-37.262794
201,5478,-82.973976
202,5501,-54.83731
203,5528,-74.16073
204,5541,-34.135216
205,5570,-70.34299
206,5603,-119.65439
207,5644,-147.14284
208,5657,-30.836443
209,5675,-60.816303
210,5704,-68.225235
211,5718,-28.48861
212,5731,-30.588037
213,5742,-23.684534
214,5758,-34.5809
215,5788,-65.866646
216,5803,-32.57016
217,5845,-77.65616
218,5856,-20.445766
219,5878,-60.014816
220,5890,-36.298653
221,5923,-89.14591
222,5943,-54.851974
223,5966,-55.642426
224,5977,-18.8377
225,6004,-49.343594
226,6014,-25.02662
227,6024,-28.277674
228,7024,-2544.0205
229,7055,-113.628914
230,7075,-52.49506
231,7089,-35.536278
232,7103,-25.469255
233,7121,-31.731295
234,7154,-119.83013
235,7197,-77.78203
236,7241,-142.96986
237,7257,-43.684258
238,7269,-27.527157
239,7338,-144.13797
240,7398,-185.53786
241,7409,-19.265785
242,7422,-44.748535
243,7503,-247.60735
244,7546,-117.46123
245,8297,-1961.7754
246,8317,-40.489826
247,8438,-265.42142
248,8457,-44.61413
249,8475,-58.84374
250,8510,-120.27262
251,8530,-49.77187
252,8579,-122.218765
253,8594,-41.242958
254,8616,-40.669167
255,8629,-33.841457
256,8647,-34.619865
257,8721,-191.7898
258,8742,-53.720207
259,8770,-74.73782
260,8800,-65.22848
261,8826,-113.26354
262,8843,-15.296119
263,8881,-133.66609
264,8896,-38.67777
265,8929,-117.79291
266,8953,-34.12166
267,8972,-48.49877
268,8988,-46.522163
269,9006,-45.73626
270,9018,-33.307972
271,9035,-35.82943
272,9047,-30.802004
273,9061,-36.20185
274,9078,-40.019833
275,9106,-63.58854
276,9143,-39.840202
277,9155,-32.971165
278,9169,-30.212023
279,9185,-39.44793
280,9195,-11.331826
281,9210,-40.797966
282,9228,-57.612057
283,9247,-49.776638
284,9260,-50.134277
285,9329,-301.1532
286,9545,-587.8395
287,9562,-38.392036
288,9586,-83.99177
289,9606,-60.326992
290,9626,-49.669456
291,10266,-1592.8672
292,10295,-69.52684
293,10306,-28.34012
294,10354,-222.0124
295,10386,-87.75828
296,10401,-36.489723
297,10446,-142.3225
298,10463,-36.309372
299,10475,-33.670048
300,10489,-27.459698
301,10528,-123.23869
302,10538,-27.582474
303,10549,-31.542473
304,10570,-33.70089
305,10582,-29.337818
306,10602,-34.159195
307,10670,-253.30977
308,10679,-20.227016
309,10701,-45.496376
310,10726,-45.623993
311,11179,-1148.0116
312,11200,-67.678894
313,11256,-163.48904
314,11289,-117.26027
315,11304,-12.0298815
316,11326,-36.813297
317,11345,-60.453102
318,11361,-29.020027
319,11383,-49.42773
320,11400,-55.380875
321,11425,-67.69295
322,11448,-76.78824
323,11469,-67.57572
324,11479,-28.549658
325,11508,-91.68519
326,11558,-201.63585
327,11571,-29.10951
328,11581,-26.25314
329,11605,-44.89283
330,11619,-23.370312
331,11636,-55.938858
332,11662,-58.126904
333,11690,-56.32268
334,11711,-49.19477
335,11724,-52.439583
336,11734,-22.375004
337,11754,-58.408474
338,11791,-131.7966
339,11801,-30.867355
340,11824,-85.05917
341,11840,-25.224398
342,11870,-65.36279
343,11913,-163.7538
344,11924,-33.27892
345,11952,-80.187706
346,11963,-18.45506
347,11974,-33.811237
348,12011,-113.17438
349,12023,-41.116352
350,12034,-33.769337
351,12092,-217.06429
352,12116,-50.304577
353,12133,-44.448784
354,12144,-36.286148
355,12161,-30.065084
356,12178,-55.958813
357,12189,-27.744793
358,12225,-116.18507
359,12238,-40.870678
360,12294,-104.05635
361,12304,-26.744553
362,12342,-50.244953
363,12367,-74.85938
364,12381,-33.635494
365,12389,-27.720034
366,12404,-41.45516
367,12411,-23.762434
368,12427,-37.115093
369,12441,-28.646282
370,12451,-24.872229
371,12466,-36.82613
372,12482,-35.678047
373,12502,-63.26688
374,12513,-37.390244
375,12532,-70.18636
376,12546,-32.796318
377,12575,-79.36996
378,12587,-25.251745
379,12599,-25.548
380,12624,-47.46628
381,12652,-58.008377
382,12668,-31.785198
383,12694,-48.448284
384,12722,-83.26724
385,12734,-27.085205
386,12755,-68.65209
387,12783,-87.79607
388,12790,-24.739918
389,12801,-24.378864
390,12843,-120.86858
391,12855,-25.981659
392,12865,-19.257912
393,12875,-24.754017
394,12889,-26.138908
395,12911,-34.472572
396,12923,-26.580694
397,12939,-41.667824
398,12953,-40.37296
399,12977,-67.36675
400,13008,-116.77357
401,13022,-36.292835
402,13037,-27.114147
403,13050,-28.770302
404,13077,-102.8943
405,13090,-30.890516
406,13110,-38.06093
407,13124,-38.995686
408,13135,-28.928476
409,13164,-38.09969
410,13183,-28.80072
411,13220,-89.761284
412,13229,-29.781685
413,13267,-35.69129
414,13289,-66.6866
415,13305,-54.17294
416,13333,-63.605263
417,13342,-37.27943
418,13372,-60.95648
419,13416,-121.94714
420,13428,-32.53353
421,13471,-117.06694
422,13495,-65.60891
423,13514,-65.79636
424,13525,-21.142725
425,13551,-96.384766
426,13562,-36.100994
427,13579,-39.867386
428,13625,-180.5247
429,13642,-44.46046
430,13653,-30.115631
431,13679,-97.60315
432,13734,-164.11554
433,13804,-182.39584
434,13818,-26.737898
435,13851,-121.12354
436,13875,-74.858
437,13910,-98.49611
438,13922,-25.574053
439,13943,-48.300777
440,13950,-20.166872
441,13988,-98.7123
442,14004,-45.758705
