episodio,pasos,recompensa
1,1530,-416.61078
2,2530,-538.31683
3,3530,-490.54684
4,3547,-11.634674
5,3620,8.710762
6,3669,-33.722527
7,3749,-29.650309
8,4749,-511.10782
9,4770,8.814223
10,5770,-546.21875
11,5847,-64.71664
12,6847,-559.56146
13,6941,-27.939804
14,7003,-19.359495
15,8003,-512.799
16,8144,-75.441765
17,8177,-26.219694
18,8411,-130.07529
19,8488,-35.6642
20,8514,-16.987703
21,8569,-21.02443
22,8640,-47.39311
23,8679,-29.404613
24,8808,-71.55534
25,9808,-452.64557
26,9841,-26.284866
27,10841,-252.4112
28,10955,-37.233124
29,10977,-11.532461
30,11056,-36.32755
31,11724,-125.86601
32,11831,4.514529
33,12654,-132.37863
34,13654,169.42148
35,14654,232.43156
36,15654,333.18027
37,16654,462.28207
38,17654,695.5285
39,18654,718.86786
40,19654,729.46454
41,20654,736.9208
42,21654,731.2637
43,22654,786.1886
44,23654,803.85565
45,24654,775.29694
46,25654,784.30774
47,26654,799.795
48,27654,809.11
49,28654,732.3294
50,28797,0.42174125
51,28869,12.283582
52,29869,792.6406
53,29939,-23.807756
54,30246,49.752495
55,31246,770.47644
56,32246,811.51636
57,33246,-173.97615
58,34246,802.21124
59,35246,803.82404
60,36246,768.76227
61,37246,788.63043
62,38246,780.04535
63,39246,813.3412
64,40246,832.20685
65,41246,848.7881
66,42246,832.6221
67,43246,838.275
68,44130,443.2625
69,45130,763.9793
70,46130,855.1673
71,47130,803.1876
72,48130,844.25714
73,49130,852.4171
74,49187,-4.4243393
75,50187,850.31213
76,51187,780.3196
77,52187,859.01086
78,53187,757.92444
79,53220,-37.997982
80,54220,829.86096
81,55220,746.6529
82,56220,-327.17117
83,57220,854.1463
84,58220,866.7916
85,59220,871.5581
86,60220,854.9377
87,61220,851.7309
88,62220,878.2819
89,63220,870.56714
90,64220,859.80536
91,64313,-2.7001925
92,65313,864.1704
93,66313,874.1869
94,67313,603.0086
95,68313,871.5789
96,69313,725.7028
97,70313,-190.54823
98,71313,848.75696
99,72313,845.88965
100,73313,855.0209
101,74313,832.9905
102,75313,871.4916
103,76313,854.088
104,77313,870.0362
105,78313,863.5727
106,79313,863.0713
107,80313,871.21234
108,81313,882.7806
109,82313,865.07446
110,83313,852.6998
111,83387,-17.02031
112,84387,829.9532
113,85387,757.3153
114,86387,863.6813
115,86420,-2.7451193
116,87420,851.5719
117,88420,835.82526
118,89420,872.2231
119,90420,871.463
120,91420,864.1163
121,92420,832.23615
122,93420,864.0572
123,93455,-5.1082954
124,94455,867.08264
125,95455,784.827
126,96455,876.1202
127,97455,858.6846
128,97496,12.409299
129,98496,857.5928
130,99496,859.4185
131,100496,868.19666
132,100538,-12.568318
133,100554,-11.941084
134,100661,-11.467317
135,101661,858.5022
136,101687,4.8845725
137,102687,865.4798
138,103687,870.7154
139,104687,859.6822
140,105687,-455.77805
141,105774,-16.495865
142,106774,815.24384
143,107774,849.6988
144,108774,848.13715
145,109774,856.1747
146,110774,838.0534
147,111774,874.3036
148,112774,871.09717
149,113774,861.57214
150,114774,877.9085
151,115774,879.0902
152,116774,869.39044
153,117774,882.45544
154,118774,884.0565
155,119774,877.6653
156,120774,875.82404
157,121774,890.2224
158,122774,866.5222
159,123774,873.7132
160,124774,883.7025
161,125774,871.8138
162,126774,894.34216
163,127774,882.06525
164,128774,890.42035
165,129774,883.3555
166,130774,842.13116
167,131774,888.39246
168,132774,891.5101
169,133774,878.0362
170,133818,29.046425
171,134818,873.36066
172,135818,895.0609
173,136818,870.076
174,137818,-194.25989
175,138818,884.35486
176,139818,886.28925
177,140818,896.05444
178,141818,877.17334
179,142818,870.6392
180,143818,897.36304
