episodio,pasos,recompensa
1,49,-22.430042
2,304,-14.335084
3,583,-96.90208
4,626,-23.669907
5,671,-42.694336
6,695,-3.2170033
7,879,-61.1592
8,945,-20.33781
9,1257,-25.005983
10,2257,-351.74405
11,3257,-481.22156
12,3300,-22.812263
13,3416,-25.077364
14,4416,-322.30795
15,4486,-22.085562
16,4509,8.122214
17,4555,-30.56255
18,5555,-378.24338
19,5580,-19.392365
20,5691,-27.098948
21,6691,-308.69473
22,6783,-43.90326
23,7026,-71.64573
24,7854,-223.21901
25,7955,0.40759528
26,8388,-6.425793
27,9388,36.323563
28,10388,84.61013
29,10444,6.8955574
30,11444,184.03189
31,12444,237.64877
32,13074,70.067406
33,13282,-9.815202
34,14282,261.0257
35,15282,417.55222
36,16282,423.56766
37,17282,381.3737
38,18282,419.90088
39,19282,571.92004
40,19337,41.576958
41,19708,141.41315
42,20708,408.9077
43,21200,315.8401
44,21292,38.137066
45,22292,528.37305
46,22395,33.729633
47,23395,620.82227
48,23513,-0.97158194
49,24513,269.35364
50,24826,84.26274
51,24877,29.72736
52,25420,251.30801
53,26420,368.28146
54,27420,405.92166
55,27671,193.43529
56,27745,1.3113966
57,27815,38.897415
58,28350,65.06179
59,28389,16.881386
60,28435,-5.128418
61,29435,419.78665
62,29451,3.4647574
63,29464,14.080117
64,30464,454.4839
65,31464,508.85712
66,32464,553.1752
67,32719,117.432365
68,33719,558.7989
69,34719,392.35907
70,34943,91.09492
71,35465,204.0422
72,36465,455.53705
73,36890,139.345
74,37890,572.2554
75,37986,8.230108
76,38986,578.8803
77,39986,567.7632
78,40986,342.73743
79,41986,479.95786
80,42105,32.899086
81,42214,41.69424
82,43214,553.4828
83,43257,30.330471
84,44257,743.01996
85,44658,143.59186
86,45658,713.04346
87,46658,656.43427
88,47538,443.3377
89,48538,379.3561
90,48674,56.256905
91,49674,574.2024
92,50674,633.5526
93,51029,251.1821
94,51073,17.032507
95,52073,674.50366
96,53073,735.36066
97,54073,735.37646
98,54732,327.82074
99,55732,579.0055
100,56732,689.06104
101,57732,706.6214
102,58732,751.7431
103,59732,460.01166
104,60732,733.10614
105,61732,646.11755
106,61913,128.50183
107,62913,715.972
108,63913,689.55066
109,64913,788.9721
110,64928,4.3213887
111,65928,439.22037
112,66928,702.55975
113,67404,254.69339
114,68404,311.13132
115,68454,36.539577
116,69454,721.7327
117,69559,79.64061
118,70559,784.99054
119,71559,591.7189
120,72559,838.07056
121,73559,698.76434
122,73861,232.6348
123,74861,473.00226
124,75861,855.2961
125,76861,700.7999
126,77861,556.54047
127,78861,712.76544
128,79184,217.98936
129,80184,810.6355
130,81184,762.61426
131,82184,780.665
132,83184,781.55
133,83215,12.844277
134,83281,17.92641
135,83375,55.20578
136,84375,816.96704
137,84428,15.997297
138,84597,111.5721
139,85597,812.4585
140,85669,78.588875
141,86669,877.07074
142,87669,755.2214
143,88669,813.4481
144,89669,649.37415
145,90669,787.21985
146,91669,786.1774
147,91726,48.149166
148,92726,614.197
149,93726,791.8924
150,94726,705.8024
151,95726,804.08636
152,95740,6.81188
153,95930,186.43465
154,96930,663.35
155,97033,103.13065
156,98033,768.23267
157,99033,840.66254
158,99063,34.502293
159,100063,833.4424
160,101063,825.5113
161,102063,901.10114
162,103063,685.8272
163,104063,552.46124
164,105063,900.0388
165,106063,802.36816
166,106130,63.988342
167,106194,45.32924
168,107194,840.8883
169,107491,238.98842
170,108491,825.56714
171,109491,832.70013
172,109577,77.57202
173,110577,519.52277
174,111577,885.91766
175,112577,429.75906
176,113577,836.60535
177,114577,865.78375
178,114658,67.19636
179,115658,852.903
180,116658,869.19696
181,116694,26.460701
182,116993,292.84827
183,117993,814.8364
184,118038,55.980556
185,119038,862.30756
186,119218,199.33247
187,120218,686.1476
188,121218,755.43176
189,122218,862.04266
190,122306,111.1751
191,123306,932.1651
192,124306,824.32214
193,125306,891.38477
194,125430,102.39262
195,126430,812.2051
196,127430,916.98816
197,128026,586.5092
198,128093,34.55676
199,129093,745.81274
200,129143,73.90273
201,130143,843.062
202,131143,847.7805
203,131361,254.31746
204,131618,190.09264
205,131657,47.31002
206,132657,894.667
207,132727,96.51613
208,132784,68.189674
209,133784,833.5629
210,134784,870.876
211,135784,922.3789
212,136784,841.4725
213,137554,931.34094
214,137610,53.252224
215,138046,525.22394
216,138606,613.7248
