episodio,pasos,recompensa
1,24,116.472626
2,51,132.81648
3,94,221.03595
4,118,120.66926
5,141,115.08317
6,159,82.61657
7,184,114.9341
8,214,149.48283
9,235,97.776085
10,254,92.86824
11,275,98.81249
12,292,80.50904
13,320,128.33911
14,352,161.93307
15,377,121.15372
16,395,86.06477
17,417,110.6982
18,433,75.979095
19,468,163.2945
20,494,125.636475
21,513,92.28714
22,540,130.0463
23,557,82.41861
24,578,102.84921
25,597,92.97705
26,614,80.63893
27,636,107.74573
28,655,90.261734
29,677,103.465065
30,697,97.36437
31,732,174.55475
32,753,105.88844
33,778,127.36346
34,804,124.02325
35,828,111.3995
36,845,80.71768
37,871,127.1132
38,903,159.68898
39,930,127.118065
40,950,90.80108
41,976,131.72395
42,994,82.76973
43,1014,97.85332
44,1043,140.06657
45,1076,163.70656
46,1116,202.41217
47,1145,142.31879
48,1163,86.53736
49,1194,149.87238
50,1214,97.632
51,1237,103.98757
52,1296,305.12106
53,1316,98.11994
54,1343,136.11206
55,1360,80.59506
56,1402,194.7051
57,1417,70.9898
58,1437,97.52208
59,1468,152.09915
60,1491,113.95463
61,1526,167.88528
62,1554,136.21312
63,1579,115.28078
64,1595,75.923164
65,1612,80.37623
66,1641,140.17557
67,1669,136.29799
68,1695,128.87195
69,1724,147.10031
70,1759,168.34818
71,1780,98.67041
72,1806,125.77773
73,1826,96.9556
74,1851,116.6317
75,1878,133.42873
76,1904,125.92994
77,1935,142.46022
78,1956,102.01905
79,1978,101.215775
80,2000,101.92061
81,2028,137.9917
82,2050,109.3499
83,2069,91.65803
84,2087,85.384995
85,2105,87.692764
86,2127,104.59314
87,2151,119.65712
88,2167,75.89512
89,2195,135.4187
90,2218,112.24809
91,2240,111.334816
92,2261,101.75407
93,2280,89.72588
94,2305,125.972946
95,2333,139.70634
96,2350,80.573044
97,2370,99.056046
98,2400,144.2182
99,2417,81.683205
100,2434,80.49228
101,2450,75.884476
102,2477,133.85399
103,2494,80.59995
104,2513,91.60273
105,2530,80.802155
106,2553,111.709045
107,2570,80.52965
108,2593,112.09527
109,2613,97.34065
110,2634,104.99045
111,2650,75.91513
112,2673,111.98608
113,2691,87.61335
114,2713,111.05873
115,2732,91.27108
116,2749,80.866615
117,2766,80.004974
118,2793,135.99135
119,2816,114.36377
120,2851,163.52339
121,2872,105.02233
122,2902,143.92159
123,2927,118.389755
124,2945,86.80317
125,2961,75.94873
126,2982,105.11995
127,3000,87.23705
128,3025,118.724045
129,3043,86.65175
130,3060,80.57466
131,3082,110.50629
132,3104,110.67801
133,3120,75.61663
134,3147,135.89983
135,3164,80.8295
136,3182,85.326355
137,3200,86.17006
138,3218,85.269394
139,3235,82.562325
140,3255,99.25259
141,3272,81.02566
142,3298,132.97946
143,3323,123.102066
144,3347,122.543
145,3364,80.37694
146,3384,100.29585
147,3412,141.52338
148,3430,85.62976
149,3453,115.35146
150,3473,98.42745
