episodio,pasos,recompensa
1,18,88.81995
2,45,136.93831
3,65,100.95162
4,106,197.15524
5,142,168.96582
6,163,104.17615
7,191,143.86484
8,226,170.13539
9,244,90.759926
10,269,129.68991
11,287,90.05826
12,323,180.52289
13,341,90.02633
14,375,174.56863
15,392,83.35553
16,415,117.78568
17,437,112.319595
18,465,144.26524
19,494,146.78291
20,517,115.98015
21,550,169.68544
22,590,207.10326
23,606,78.21488
24,627,104.6491
25,646,93.97351
26,668,112.13967
27,691,116.059875
28,720,153.5207
29,746,133.8179
30,766,100.436325
31,784,89.08918
32,810,131.43073
33,832,112.255035
34,849,83.57852
35,867,88.836
36,884,83.31568
37,908,125.13593
38,927,95.043434
39,945,89.14252
40,975,148.41597
41,996,103.27677
42,1014,90.02995
43,1032,89.30086
44,1061,148.32874
45,1080,95.11192
46,1105,127.94507
47,1122,83.08442
48,1151,149.09483
49,1168,83.157234
50,1185,83.56789
51,1204,93.6359
52,1228,119.92882
53,1248,100.708466
54,1265,83.405426
55,1282,83.185356
56,1304,109.98108
57,1321,83.47756
58,1338,83.779854
59,1365,135.9069
60,1386,106.5459
61,1410,122.99262
62,1429,95.178825
63,1449,100.45551
64,1473,121.41143
65,1507,175.69601
66,1525,89.28523
67,1543,89.56538
68,1564,105.632805
69,1603,204.64607
70,1654,268.39905
71,1694,197.41885
72,1718,123.82569
73,1762,209.84659
74,1784,111.52587
75,1816,160.31383
76,1842,134.4429
77,1869,141.54712
78,1896,139.36809
79,1939,206.49773
80,1991,241.39539
81,2023,152.6728
82,2074,263.80386
83,2132,318.80524
84,2207,410.67007
85,2274,363.4467
86,2349,351.40402
87,2421,365.53394
88,2493,376.40213
89,2536,217.64056
90,2599,301.15417
91,2626,132.75098
92,2677,260.16837
93,2754,393.80728
94,2799,235.17809
95,2874,413.14502
96,2922,238.30408
97,2956,179.21484
98,3010,267.5765
99,3065,297.60483
100,3104,206.88681
101,3180,392.13586
102,3244,324.97885
103,3346,493.573
104,3423,397.30432
105,3475,252.1
106,3563,454.61502
107,3628,312.5105
108,3687,281.37708
109,3758,302.41052
110,3833,373.6359
111,3892,312.15286
112,3997,558.59576
113,4079,460.80878
114,4145,312.8846
115,4217,360.02194
116,4288,349.92172
117,4359,327.96515
118,4427,338.58673
119,4499,380.06445
120,4588,440.85834
121,4653,363.31522
122,4714,339.91733
123,4787,405.92352
124,4865,433.45096
125,4922,300.98425
126,4977,304.78354
127,5048,382.86624
128,5129,442.24255
129,5205,406.1878
130,5271,359.58566
131,5343,388.4655
132,5396,286.91473
133,5452,306.65622
134,5513,330.61942
135,5578,295.4719
136,5637,273.3273
137,5683,220.9538
138,5741,270.3299
139,5806,325.26987
140,5879,394.48074
141,5953,386.62372
142,6016,330.10175
143,6071,293.14886
144,6142,354.03183
145,6206,343.06308
146,6305,507.12015
147,6406,488.11697
148,6486,377.78705
149,6577,481.8265
150,6632,247.94221
151,6717,411.57825
152,6781,295.88025
153,6851,348.9463
154,6926,353.28168
155,7004,364.89835
156,7084,352.36374
157,7166,415.04636
158,7233,301.79504
159,7295,289.9304
160,7383,472.2833
161,7455,396.79657
162,7515,295.54648
163,7586,385.12228
164,7661,403.5811
165,7843,902.28
166,7925,435.50446
167,7995,329.92456
168,8069,396.46832
169,8177,584.2083
170,8252,379.9969
171,8318,287.7548
172,8376,302.8866
173,8443,362.93982
174,8501,319.22366
175,8600,512.8336
176,8676,359.88815
177,8743,362.48755
178,8835,466.45288
179,8902,332.06647
180,8982,422.61365
181,9066,443.54883
182,9117,255.04482
183,9198,418.01358
184,9250,248.4151
185,9374,593.3872
186,9464,447.78232
187,9526,301.44333
188,9602,407.9534
189,9704,507.9077
190,9772,366.65756
191,9844,373.34436
192,9896,270.94907
193,9976,413.8489
194,10055,437.35593
195,10127,390.81354
196,10198,383.5386
197,10277,425.40707
198,10347,342.68607
199,10444,517.3366
200,10538,456.5643
201,10604,358.9969
202,10694,467.709
203,10803,555.4119
204,10874,320.76526
205,10955,434.2471
206,11010,295.95004
207,11072,333.70422
208,11154,441.4616
209,11225,368.95636
210,11305,401.94806
211,11378,386.56854
212,11459,407.91208
213,11536,332.74097
214,11604,327.34637
215,11683,423.65076
216,11784,472.5898
217,11848,332.97174
218,11909,330.06247
219,11976,347.70938
220,12036,328.4304
221,12090,289.0765
222,12150,318.8126
223,12205,300.37033
224,12267,334.27182
225,12335,357.21848
226,12434,492.79523
227,12504,379.04486
228,12568,344.0732
229,12637,374.15985
230,12710,374.7965
231,12809,519.0294
232,12874,346.51862
233,12957,384.4978
234,13023,344.73758
235,13089,319.10916
236,13153,345.56726
237,13223,344.63757
238,13268,226.70392
239,13356,437.58063
240,13431,372.89685
241,13498,350.97742
242,13563,296.5613
243,13694,656.07355
244,13755,307.59473
245,13833,384.84647
246,13900,284.27502
247,13987,467.3305
248,14083,502.12778
249,14185,552.8539
250,14261,358.79022
251,14353,421.19315
252,14400,245.66963
253,14468,378.78882
254,14540,394.67862
255,14599,312.06174
256,14669,373.0948
257,14733,347.45456
258,14791,309.90985
259,14870,428.4252
260,14926,302.83438
261,14992,345.55005
262,15055,319.06537
263,15113,319.23816
264,15165,279.4492
265,15238,381.90164
266,15303,346.97916
267,15384,395.788
268,15459,342.27426
269,15515,293.79083
270,15579,339.69147
271,15650,374.109
272,15749,463.3758
273,15837,466.4705
274,15922,439.28656
275,15999,408.29013
276,16081,426.81235
277,16148,360.9013
278,16217,357.3688
279,16271,288.52377
280,16339,290.40692
281,16398,316.75104
282,16461,340.1427
283,16541,431.7009
284,16610,368.56583
285,16675,352.8561
286,16743,366.79144
287,16802,319.79227
288,16865,341.84937
289,16920,295.7747
290,16994,403.21997
291,17056,341.14816
292,17133,414.02457
293,17204,378.41122
294,17262,308.958
295,17355,440.41248
296,17442,453.69598
297,17520,418.52853
298,17607,444.25208
299,17671,342.98874
300,17740,376.83493
301,17813,394.10947
302,17881,353.7257
303,17980,527.7144
304,18076,527.809
305,18156,413.6907
306,18223,358.9055
307,18293,390.54343
308,18354,332.5753
309,18416,351.5574
310,18472,315.37686
311,18526,298.72968
312,18577,288.1574
313,18659,451.95392
314,18742,441.13086
315,18852,566.69165
316,18923,376.43436
317,18992,340.81854
318,19044,278.8213
319,19108,348.3193
320,19225,601.79865
321,19294,374.06238
322,19410,619.2069
