episodio,pasos,recompensa
1,19,95.68514
2,36,83.48345
3,55,93.464745
4,77,110.23875
5,107,151.4705
6,126,94.22648
7,149,119.27713
8,168,95.23927
9,195,132.42674
10,213,89.63241
11,238,129.7273
12,270,154.70535
13,288,88.77208
14,311,115.33016
15,332,104.971664
16,351,94.50813
17,376,132.00572
18,399,118.66816
19,429,158.3738
20,445,78.35175
21,473,147.27087
22,493,99.842026
23,515,112.91611
24,532,83.18737
25,550,88.49777
26,575,125.65428
27,599,119.58593
28,627,143.38373
29,646,97.114716
30,663,83.643776
31,684,107.444405
32,702,88.62559
33,719,85.03554
34,736,83.20403
35,768,163.09595
36,785,85.00985
37,802,83.36926
38,825,116.12268
39,842,83.60375
40,859,83.63328
41,876,83.61667
42,894,88.37096
43,916,113.37009
44,936,101.32928
45,965,152.45784
46,982,83.20759
47,1000,89.68146
48,1021,103.900345
49,1046,128.74422
50,1064,88.35363
51,1084,101.864365
52,1117,167.84293
53,1158,209.65364
54,1184,129.9169
55,1229,247.26453
56,1249,100.61621
57,1285,195.71854
58,1310,127.872856
59,1347,175.7589
60,1380,168.45943
61,1402,111.68747
62,1424,112.41505
63,1444,98.336685
64,1468,122.515625
65,1489,106.42153
66,1508,93.93965
67,1527,95.9663
68,1546,94.01427
69,1571,117.612274
70,1599,141.13533
71,1619,98.6758
72,1651,163.0606
73,1671,98.72667
74,1717,234.36737
75,1742,124.05053
76,1763,105.84732
77,1786,115.624916
78,1805,97.47974
79,1827,113.52794
80,1844,82.906944
81,1863,94.73938
82,1887,121.94023
83,1932,228.95558
84,1957,128.48354
85,2005,248.38206
86,2032,140.9159
87,2063,165.0983
88,2113,277.22412
89,2164,280.2525
90,2211,255.05794
91,2272,337.21744
92,2339,354.5021
93,2383,227.31186
94,2431,251.02594
95,2497,312.6651
96,2568,390.80518
97,2633,347.2721
98,2696,298.88303
99,2758,329.86765
100,2837,417.39072
101,2875,187.96504
102,2956,430.5074
103,2998,213.23294
104,3045,238.70708
105,3102,297.03424
106,3178,406.2471
107,3226,252.2029
108,3248,104.71664
109,3289,200.68294
110,3355,322.41656
111,3416,323.4092
112,3488,361.63104
113,3543,286.8261
