episodio,pasos,recompensa
1,19,7.5313106
2,33,-1.1705229
3,68,6.476478
4,95,-1.2475317
5,110,3.479559
6,124,1.5605732
7,138,-2.8473225
8,152,0.060874373
9,172,-1.3243879
10,185,-0.9530141
11,207,-0.8007656
12,229,-0.960136
13,245,1.0806804
14,274,5.896278
15,297,-0.704503
16,318,5.5891337
17,335,0.48167932
18,358,-8.699721
19,374,-2.7847235
20,406,23.186958
21,423,2.808412
22,448,1.9182458
23,467,4.6667457
24,501,10.686555
25,534,9.436636
26,560,12.326239
27,602,2.1661687
28,623,-5.075376
29,648,-4.140413
30,672,-4.354624
31,688,5.969089
32,729,19.258535
33,773,11.884457
34,816,6.1501017
35,924,-3.9181824
36,989,-15.895418
37,1031,10.329124
38,1183,24.950012
39,1249,37.508934
40,1314,25.197962
41,1402,-33.195988
42,1590,270.76904
43,1711,22.800037
44,1929,102.653015
45,2135,307.95694
46,2357,328.1174
47,2502,14.953298
48,2923,153.82602
49,3072,238.25981
50,3191,17.142527
51,3359,266.72556
52,3545,275.8996
53,3701,249.60654
54,4119,515.699
55,4445,164.82228
56,4608,30.059277
57,4937,482.2177
58,5184,97.88856
59,5443,133.94691
60,5605,35.72858
61,5797,20.132725
62,5946,243.53261
63,6143,47.653656
64,6489,162.02672
65,6754,289.59375
66,6960,316.0342
67,7082,194.1677
68,7276,39.2182
69,7426,213.5766
70,7570,273.76694
71,7724,263.14758
72,7929,300.88544
73,8155,341.11642
74,8222,10.42512
75,8354,247.89189
76,8516,68.29336
77,8728,328.3956
78,9032,416.4295
79,9214,277.1525
80,9331,139.39949
81,9515,192.66728
82,9711,81.48207
83,10075,400.87946
84,10380,437.14392
85,10539,273.0993
86,10689,77.98151
87,10788,180.51068
88,10972,54.325844
89,11089,34.91618
90,11316,292.33008
91,11513,78.06614
92,11615,156.02292
93,11720,196.62997
94,11896,95.7339
95,12102,351.55618
96,12295,318.84348
97,12526,349.52658
98,12660,242.37675
99,12776,231.31155
100,12951,288.93152
101,13197,364.6718
102,13374,311.6766
103,13561,349.36905
104,13766,328.8626
105,14236,281.54837
106,14412,66.260315
107,14579,302.49304
108,14941,217.4292
109,15081,274.33365
110,15234,15.288972
111,15309,143.29826
112,15482,298.1101
113,15634,280.7647
114,15827,321.44333
115,15910,164.30692
116,16092,298.9066
117,16341,76.41445
118,16441,170.86491
119,16603,305.6224
120,16763,296.2169
121,16892,263.66714
122,17083,320.30878
123,17217,241.39288
124,17337,247.92549
125,17444,224.94092
126,17606,304.45926
127,17839,323.32925
128,18025,97.69459
129,18192,347.67618
130,18380,373.97546
131,18532,83.844765
132,18669,252.19495
133,18924,450.49805
134,19065,290.59793
135,19297,392.5136
136,19454,230.5065
137,19584,294.4579
138,19781,393.81036
139,19933,383.91272
140,20133,271.46292
141,20383,615.7569
142,20540,318.5872
143,20723,383.52924
144,20863,200.22926
145,21169,542.7838
146,21359,105.49259
147,21634,528.6956
148,21875,515.9766
149,22129,515.6538
150,22343,444.16617
151,22537,417.07202
152,22817,305.54865
153,23102,357.0765
154,23343,515.98706
155,23548,372.66812
156,23704,42.367985
157,23887,306.21875
158,24431,636.2743
159,24660,582.0813
160,24879,461.21335
161,25107,511.30667
162,25355,555.6095
163,25550,414.46982
164,25726,345.92892
165,25937,443.16574
166,26155,392.1976
167,26324,312.9497
168,26507,415.83713
169,26687,360.79645
170,26848,302.8118
171,27018,351.60864
172,27359,1033.3451
173,27627,529.37134
174,27844,294.36383
175,28021,357.75708
176,28153,215.32533
177,28288,278.76093
178,28415,260.91513
179,28600,336.79187
180,28801,323.98038
181,28944,252.29752
182,29332,761.4637
183,29541,492.6733
184,29743,393.82663
185,29893,256.1701
186,30057,315.29343
187,30204,286.85898
188,30490,480.2593
189,30659,301.3183
190,30844,469.29382
191,31033,207.92435
192,31188,265.81915
193,31401,383.8168
194,31643,291.58588
195,31820,230.37675
196,31979,297.24933
197,32149,405.42905
198,32344,379.21912
199,32585,287.04297
200,32749,262.9141
201,33086,316.46844
202,33205,107.04282
203,33369,315.17474
204,33679,451.9401
205,33879,386.2427
206,34190,197.26915
207,34299,103.54331
208,34444,36.753685
209,34547,93.4314
210,34853,71.30936
211,35027,141.02148
212,35165,185.78976
213,35423,247.21123
214,35534,67.78473
215,35734,354.796
216,35840,63.360016
217,36079,378.4149
218,36363,362.4821
219,36634,430.13052
220,36764,82.933556
221,37134,385.8672
222,37530,728.551
223,37757,388.28204
224,37945,356.60886
225,38220,520.03076
226,38440,396.9437
227,38638,384.91797
228,38870,503.94653
229,39032,353.28384
230,39198,345.35062
231,39421,450.1314
232,39612,75.065735
233,39807,81.860855
234,39985,390.41516
235,40200,433.86288
236,40363,344.10516
237,40592,389.9427
238,40789,389.36642
239,41124,584.52014
240,41348,439.3
241,41565,481.3899
242,41988,616.8863
243,42164,407.67554
244,42408,449.9309
245,42766,585.01984
246,42942,383.4024
247,43121,377.83572
248,43304,342.9714
249,43455,316.43378
250,43608,303.9327
251,43790,353.05524
252,44160,976.94037
253,44575,669.6493
254,44726,347.0099
255,44904,341.68216
256,45226,672.9843
257,45415,367.96564
258,45559,312.5343
259,45808,450.82278
260,46012,370.52597
261,46172,358.82724
262,46486,585.46326
263,46690,383.2528
264,47020,504.46786
265,47302,464.59082
266,47533,413.77515
267,47710,307.02722
268,47909,360.52255
269,48146,398.60873
270,48576,750.5954
271,48786,368.2219
272,48961,365.66568
273,49370,813.94257
274,49539,328.23724
275,49787,162.33409
276,49971,355.4942
277,50206,358.70016
278,50486,566.3251
279,50624,244.69707
280,50810,395.1906
281,51034,405.85605
282,51215,301.93347
283,51407,304.36554
284,51805,537.1266
285,52013,486.6112
286,52178,335.44925
287,52400,3.5376813
288,52546,280.54144
289,52723,242.66124
290,52882,263.86304
291,53168,545.9241
292,53735,846.3857
293,53912,283.98056
294,54060,194.67906
295,54246,322.84018
296,54463,403.86417
297,54609,217.97757
298,54780,366.8879
299,54905,187.99864
300,55052,246.27899
301,55536,1272.5663
302,55816,465.7335
303,56071,413.02478
304,56234,332.2594
305,56405,397.61902
306,56590,386.06244
307,57162,1446.0101
308,57342,389.6547
309,57626,458.46548
310,57935,747.4589
311,58174,385.68985
312,58384,355.78
313,58585,375.7406
314,58689,179.44672
315,58849,322.3755
316,59044,334.9545
317,59229,367.5934
318,59444,392.40256
319,59581,292.2927
320,59822,480.35303
321,59972,299.63144
322,60136,366.14777
323,60321,351.06207
324,60511,408.11823
325,60755,426.37363
326,60931,351.65927
327,61124,367.6205
328,61295,317.2506
329,61550,439.2347
330,61732,443.7263
331,62103,797.6352
332,62408,809.7865
333,62549,292.87347
334,62727,378.9002
335,62866,292.3678
336,63045,431.63126
337,63172,251.21996
338,63531,909.5791
339,63848,742.20984
340,64037,369.66946
341,64219,444.7066
342,64368,350.2333
343,64545,390.9027
344,64732,349.367
345,64887,354.45117
346,65017,288.12515
347,65235,364.07687
348,65420,347.71387
349,65599,399.33984
350,65893,645.2705
351,66125,419.50787
352,66247,230.42769
353,66430,382.43723
354,66711,566.873
355,66885,386.84497
356,67116,440.1243
357,67292,388.29605
358,67507,380.8092
359,67653,316.99127
360,67885,562.3778
361,67976,151.11244
362,68211,614.5217
363,68439,430.8829
364,68664,550.43915
365,68911,609.33295
366,69193,534.79865
367,69435,594.11914
368,69626,518.4823
369,69804,460.5373
370,70011,399.93423
371,70285,653.8488
372,70407,33.14423
373,70581,404.0769
374,70732,318.60895
375,70909,375.0434
376,71157,541.2934
377,71490,714.0444
378,72131,2016.6469
379,73055,1879.7985
380,73240,157.33038
381,73747,903.1005
382,74126,846.0874
383,74361,424.35242
384,74816,1022.186
385,74924,65.05003
386,75113,424.83957
387,75403,497.16745
388,75597,414.90775
389,75815,395.99243
390,75924,50.350597
