episodio,pasos,recompensa
1,15,-2.1847458
2,28,0.05518791
3,40,0.40176186
4,73,1.9356236
5,85,-1.0696305
6,111,8.738286
7,123,1.01599
8,145,-3.776114
9,159,-1.3102949
10,172,-2.7700162
11,205,2.2158537
12,220,0.645914
13,231,-0.69829047
14,271,18.537704
15,286,1.4816186
16,303,1.6330001
17,327,5.9391513
18,362,9.164244
19,396,9.039517
20,415,-3.280041
21,440,-1.1436746
22,461,-4.9969873
23,489,17.672411
24,511,3.7284946
25,541,1.8693919
26,561,4.087987
27,583,-10.690642
28,602,-4.675872
29,630,10.5469265
30,671,11.153923
31,734,31.128336
32,751,4.6259117
33,782,-1.084203
34,822,15.254715
35,845,-4.2809863
36,896,-0.24694496
37,975,24.213688
38,1011,-2.2318845
39,1049,1.7701322
40,1131,9.262929
41,1174,7.935602
42,1328,25.096474
43,1412,-5.9140506
44,1500,6.022639
45,1658,35.604042
46,1771,-10.660065
47,1867,-12.071521
48,1966,0.33143282
49,2090,10.077678
50,2372,112.74937
51,2603,354.50784
52,3029,252.96213
53,3251,28.71982
54,3389,243.01956
55,3682,123.148605
56,3929,350.44388
57,4270,401.59836
58,4426,221.21936
59,4581,244.39198
60,4751,257.6384
61,4859,173.94542
62,4972,165.66446
63,5317,407.77966
64,5424,8.826224
65,5575,210.47769
66,5765,78.45679
67,5923,245.54852
68,6533,717.7262
69,6713,326.55005
70,6912,251.66641
71,7008,17.314062
72,7024,0.36485517
73,7112,24.58287
74,7220,31.507206
75,7369,242.89334
76,7543,283.93298
77,7699,227.38693
78,8024,112.39112
79,8222,291.6235
80,8407,335.05402
81,8616,396.08984
82,8762,216.89737
83,8961,330.18683
84,9153,311.07095
85,9277,212.83966
86,9511,372.57297
87,9680,288.61963
88,9837,263.25757
89,9970,172.85443
90,10247,437.02972
91,10698,692.53973
92,10874,266.27573
93,11004,197.70201
94,11154,230.57544
95,11380,356.36148
96,11649,297.135
97,11820,269.70203
98,11962,224.90424
99,12103,197.09798
100,12368,404.68533
101,12691,461.46924
102,13085,119.32827
103,13248,277.31207
104,13347,0.67533183
105,13459,47.191833
106,13616,167.33942
107,13779,195.23
108,14439,773.9275
109,14602,82.21386
110,14706,187.65707
111,14822,179.39429
112,15060,349.6631
113,15247,291.03796
114,15625,588.28595
115,15857,363.33606
116,16083,347.6283
117,16211,56.941044
118,16391,347.5054
119,16604,387.62405
120,16792,398.52206
121,16953,266.12814
122,17224,595.69635
123,17438,395.9891
124,17617,382.51633
125,17795,401.35464
126,18118,510.69336
127,18323,352.833
128,18557,496.42047
129,18638,52.74769
130,18701,36.07024
131,18935,351.25177
132,19299,639.3342
133,19554,516.0946
134,19832,434.74155
135,20466,680.10626
136,20694,100.50569
137,20995,585.7523
138,21594,1091.0382
139,22162,490.64926
140,22549,714.74866
141,22677,229.05057
142,22904,478.2691
143,23242,711.87885
144,23546,507.78644
145,23913,509.86853
146,24135,362.25995
147,24396,395.6439
148,24753,365.64825
149,24932,328.62653
150,25188,476.4157
151,25364,72.282104
152,26019,602.95905
153,26318,527.5228
154,26669,718.47424
155,27047,696.9929
156,27258,460.81046
157,27500,483.07486
158,27876,658.549
159,28139,397.01608
160,28337,377.32803
161,28712,803.7601
162,29274,930.838
163,29911,1159.6375
164,30149,550.7186
165,31149,1616.6616
166,31389,415.71576
167,31773,856.3625
168,32064,591.5463
169,32380,591.9743
170,32986,457.5741
171,33327,657.2261
172,33692,612.7207
173,34217,809.071
174,34477,490.1218
175,34811,635.002
176,34991,365.23688
177,35654,1241.1046
178,35849,128.4255
179,36059,368.28943
180,36210,221.10394
181,36403,305.91214
182,36664,424.19904
183,36833,311.7742
184,37067,468.75928
185,37287,383.3767
186,37555,382.1405
187,37815,508.52917
188,38050,429.15753
189,38240,366.5656
190,38512,518.3236
191,38861,676.0092
192,39095,429.7289
193,39268,351.96017
194,39458,328.18527
195,39704,484.69733
196,39990,556.6216
197,40429,854.2524
198,40667,434.65482
199,40887,422.20074
200,41076,406.44867
201,41307,385.42444
202,41605,657.57135
203,41952,436.6374
204,42061,200.58083
205,42245,368.9361
206,42684,899.46313
207,42879,328.8478
208,43143,527.09094
209,43344,337.1007
210,43624,510.25507
211,44119,793.0034
212,44447,507.62286
213,44700,502.1607
214,44957,481.98294
215,45270,576.51843
216,45581,666.7449
217,45731,263.68427
218,45974,428.23145
219,46235,478.73816
220,46465,498.3218
