episodio,pasos,recompensa
1,37,6.2023554
2,61,-10.442666
3,82,3.640058
4,99,5.2686734
5,120,-6.170198
6,130,-2.2904794
7,141,-1.0421693
8,157,2.5293355
9,176,-4.8353777
10,200,-3.4013789
11,229,7.2354116
12,244,3.61155
13,266,1.2951875
14,285,6.167876
15,303,1.584979
16,323,-7.1637263
17,357,9.710947
18,367,-2.1286056
19,375,-4.2872744
20,386,-2.8286624
21,397,-1.3640059
22,410,-6.859563
23,427,7.1495547
24,451,-1.3157767
25,463,0.12757319
26,499,11.284467
27,525,-4.991622
28,537,-7.2714205
29,579,14.20342
30,615,18.823185
31,635,7.6059055
32,648,-1.4597282
33,686,3.2412708
34,714,-4.8123736
35,735,-2.2746487
36,746,-0.11169265
37,763,0.9747618
38,776,2.2848916
39,797,2.1355636
40,812,3.3627377
41,840,-1.5773239
42,866,7.0018373
43,883,3.9357708
44,918,3.4023507
45,934,-0.219958
46,947,-1.1492964
47,970,8.660067
48,987,5.3357835
49,1004,-0.3371605
50,1035,5.3099413
51,1048,-0.1505307
52,1086,13.410623
53,1100,-3.7529786
54,1117,-3.3524997
55,1166,7.2935944
56,1188,3.7956574
57,1208,5.5714345
58,1250,14.445694
59,1259,-1.0078348
60,1270,-10.091863
61,1286,-0.78159297
62,1299,-0.5253357
63,1314,-4.5881424
64,1325,1.531476
65,1334,-2.787854
66,1350,-1.2864449
67,1372,0.87027645
68,1386,-0.9787747
69,1401,-0.4195158
70,1412,-1.1915574
71,1424,-5.5961294
72,1446,-4.4756713
73,1465,-8.393416
74,1478,0.52432317
75,1486,-3.6464067
76,1504,2.0030575
77,1516,1.1034932
78,1539,1.8449073
79,1551,-0.9147892
80,1572,-2.6806655
81,1595,-0.37910947
82,1610,-5.065645
83,1636,-1.7697132
84,1654,2.4753337
85,1662,-3.0882845
86,1672,-0.06604166
87,1699,0.9292693
88,1714,0.69416475
89,1729,1.1702219
90,1767,17.8918
91,1794,-1.8774389
92,1812,1.5208926
93,1837,14.118326
94,1860,-7.1569657
95,1875,-1.995572
96,1893,-5.020878
97,1907,0.5063593
98,1937,-2.7246242
99,1948,-0.35922968
100,1969,-2.2767282
101,1988,6.5287824
102,2022,0.57981676
103,2033,1.5986992
104,2062,-4.2567306
105,2083,-4.1771436
106,2112,-3.1231937
107,2167,30.207636
108,2185,3.8931513
109,2211,-2.5332828
110,2236,7.836913
111,2256,11.762304
112,2294,3.0956097
113,2305,-4.0008826
114,2328,1.062489
115,2344,1.5823836
116,2374,5.7700562
117,2387,-0.4938748
118,2400,-3.8390753
119,2426,13.793517
120,2459,2.3633208
121,2480,2.3357673
122,2505,2.572648
123,2516,-3.9148884
124,2535,4.3253593
125,2550,-8.532365
126,2562,-2.0622902
127,2579,5.7327776
128,2618,10.14669
129,2643,1.8812128
130,2669,2.3265135
131,2677,-3.093186
132,2692,-5.1752396
133,2714,4.901279
134,2735,1.7508008
135,2767,16.1029
136,2804,6.8650413
137,2824,3.5530396
138,2839,3.7049232
139,2857,-7.616853
140,2882,-6.9543953
141,2903,7.6822786
142,2914,-0.89828753
143,2939,-0.6496274
144,2959,-1.5180583
145,2989,0.85166115
146,2998,-1.0321069
147,3044,1.5416515
148,3088,29.253063
149,3114,3.6698031
150,3147,1.4770709
151,3161,-1.2368374
152,3187,0.2238465
153,3201,-0.13823253
154,3226,6.3368745
155,3256,17.981495
156,3268,-3.397211
157,3318,14.456934
158,3338,3.6272964
159,3351,2.0292685
160,3379,2.4526784
161,3390,-2.7275171
162,3405,1.7697327
163,3439,5.4303603
164,3476,12.027969
165,3492,-4.901246
166,3502,-1.7376298
167,3513,-3.003375
168,3541,12.046231
169,3553,-0.8359878
170,3569,3.9008179
171,3582,-1.2116122
172,3614,-5.8234277
173,3623,-4.2777658
174,3645,9.837399
175,3663,7.649575
176,3680,1.9038997
177,3697,1.3191204
178,3721,-1.2203248
179,3744,4.8783436
180,3775,7.3660455
181,3795,2.6593225
182,3809,-2.6727414
183,3848,11.039997
184,3864,5.603677
185,3889,0.9481231
186,3911,1.8192972
187,3929,-1.6995957
188,3937,-2.2260954
189,3990,8.261612
190,4007,4.482874
191,4029,9.261965
192,4043,3.9002852
193,4060,6.652788
194,4098,18.155735
195,4109,0.22055449
196,4133,9.046903
197,4183,16.070482
198,4205,3.7444355
199,4268,31.459042
200,4288,5.0089307
201,4318,23.657234
202,4345,14.07772
203,4370,5.452227
204,4394,12.335424
205,4434,24.509903
206,4466,12.227225
207,4527,24.47277
208,4541,0.9929054
209,4565,2.2405803
210,4593,9.751902
211,4607,4.5102444
212,4627,7.154966
213,4668,15.182354
214,4688,6.874033
215,4712,5.816204
216,4791,45.41892
217,4837,32.106056
218,4877,22.133762
219,4948,5.766062
220,4977,10.636719
221,5016,11.610988
222,5053,20.773708
223,5066,3.1548843
224,5078,2.9950168
225,5094,3.9674606
226,5111,8.329003
227,5154,25.415794
228,5203,4.047453
229,5225,6.5556564
230,5249,6.9961014
231,5283,5.488601
232,5328,11.024359
233,5341,3.654649
234,5365,3.2629347
235,5393,13.524761
236,5430,19.824608
237,5462,18.43651
238,5480,0.84130764
239,5520,14.63628
240,5552,14.09876
241,5566,2.5143342
242,5595,11.656999
243,5622,10.476234
244,5633,2.3270442
245,5685,16.638311
246,5705,0.12735902
247,5733,11.763253
248,5745,-0.38747048
249,5771,6.7852883
250,5785,1.0263442
251,5795,-2.5423195
252,5864,31.112503
253,5887,4.3328176
254,5914,9.371535
255,5936,3.3781908
256,5952,-2.2793021
257,5965,0.72624123
258,5994,0.6013752
259,6009,5.9335823
260,6032,11.244747
261,6056,10.167812
262,6096,10.111066
263,6122,11.994282
264,6148,13.226143
265,6222,58.967766
266,6260,6.359759
267,6315,17.293207
268,6331,2.3555057
269,6369,13.302139
270,6399,25.48082
271,6419,9.234407
272,6460,27.491755
273,6486,11.925125
274,6514,0.27737665
275,6538,12.200162
276,6585,12.810958
277,6604,9.106372
278,6635,15.049032
279,6746,-17.222113
280,6763,5.6157675
281,6849,10.886185
282,6931,56.627533
283,6985,5.2881527
284,7056,36.4491
285,7079,10.0416155
286,7103,-1.2826399
287,7132,10.783929
288,7147,-2.4115114
289,7185,20.91302
290,7205,3.6310024
291,7252,14.849547
292,7290,15.002614
293,7313,11.226635
294,7338,4.726308
295,7380,21.018812
296,7407,5.4196267
297,7458,18.055271
298,7492,1.6926489
299,7540,24.24536
300,7584,19.988861
301,7639,3.9073915
302,7699,11.93441
303,7731,9.548927
304,7746,2.4885917
305,7774,13.76068
306,7806,9.66406
307,7883,13.314656
308,7925,33.834705
309,7938,0.3546083
310,7973,10.439799
311,7992,3.275951
312,8014,6.6419735
313,8053,4.1816864
314,8106,49.347466
315,8121,0.73663765
316,8132,-0.03586173
317,8164,5.656183
318,8207,2.0023334
319,8245,8.420977
320,8267,7.512724
321,8334,-2.664011
322,8397,17.90841
323,8412,3.7778115
324,8458,8.226009
325,8515,28.122046
326,8658,230.36093
327,8694,-5.9511065
328,8733,22.787615
329,8751,4.9537907
330,8842,26.182753
331,8880,28.957159
332,8932,14.602518
333,8968,23.941267
334,8999,6.17311
335,9033,21.37075
336,9071,14.420651
337,9103,6.6703873
338,9120,8.966228
339,9160,17.182158
340,9198,17.69431
341,9254,41.224094
342,9313,23.45294
343,9342,7.692503
344,9372,7.941053
345,9413,18.552654
346,9432,6.6074405
347,9506,72.817635
348,9520,3.7288833
349,9543,10.624326
350,9693,2.6957986
351,9777,17.247581
352,9833,38.999176
353,9855,7.190419
354,9942,-0.8708267
355,9987,37.791233
356,10006,6.284031
357,10043,13.83651
358,10061,5.1819696
359,10137,3.3479967
360,10183,20.2958
361,10249,7.320897
362,10277,15.864082
363,10364,24.931652
364,10434,37.996506
365,10488,27.106695
366,10540,28.164976
367,10559,3.235542
368,10573,4.4068756
369,10592,4.92269
370,10684,16.986351
371,10721,10.747723
372,10801,15.807257
373,10910,32.204933
374,10943,13.235561
375,11015,-9.250978
376,11064,21.44825
377,11176,26.977468
378,11250,33.94833
379,11334,37.181988
380,11397,27.466125
381,11426,5.5080724
382,11488,0.78228354
383,11541,41.16023
384,11628,55.709892
385,11698,34.124245
386,11773,8.135393
387,11860,51.97906
388,11992,57.66725
389,12069,-9.918106
390,12103,14.543437
391,12256,269.22546
392,12355,28.80488
393,12575,354.595
394,12613,14.031254
395,12711,73.11055
396,12925,233.88564
397,13019,51.46001
398,13065,4.53412
399,13143,51.539635
400,13194,35.70802
401,13244,21.336464
402,13333,76.24842
403,13445,1.4612685
404,13633,277.13287
405,13688,20.987719
406,13765,24.45105
407,13817,35.3814
408,13924,74.1516
409,14011,8.929835
410,14082,31.850163
411,14249,70.08626
412,14325,57.694153
413,14407,48.893154
414,14582,85.79282
415,14642,38.82731
416,14753,224.3385
417,14916,274.95224
418,15095,58.75506
419,15216,-12.824626
420,15318,10.416882
421,15422,29.818869
422,15568,8.887432
423,15682,157.40079
424,15825,27.189465
425,15934,-5.373308
426,15959,15.215452
427,16010,40.10512
428,16049,25.478634
429,16200,94.96635
430,16317,106.32314
431,16413,35.02479
432,16528,67.36988
433,16656,52.234547
434,16800,53.346413
435,16908,10.552198
436,17110,82.73092
437,17326,351.8313
438,17429,87.79011
439,17535,57.675106
440,17713,257.30954
441,17839,74.23559
442,17925,67.89937
443,18105,54.850792
444,18248,65.45885
445,18338,-18.29767
446,18506,59.477325
447,18629,76.419205
448,18750,70.53741
449,18873,-0.5802325
450,18969,24.376785
451,19075,46.327744
452,19155,53.92001
453,19210,8.842115
454,19372,83.1623
455,19508,237.91428
456,19613,51.95497
457,19811,308.2615
458,19918,36.214523
459,20097,99.34239
460,20196,25.147837
461,20335,222.51436
462,20374,21.825016
463,20698,221.97096
464,20802,24.50685
465,20895,45.615795
466,21124,188.27853
467,21240,18.55269
468,21411,-1.2542895
469,21605,46.952644
470,21756,51.84681
471,21931,46.988148
472,22033,17.878069
473,22245,5.7297907
474,22316,20.23081
475,22511,3.6519556
476,22690,306.96704
477,22791,61.205555
478,22942,253.71426
479,23075,67.894035
480,23212,199.47997
481,23353,239.42451
482,23407,32.466793
483,23714,210.04907
484,23958,336.05945
485,24109,232.0814
486,24319,112.44656
487,24476,137.26251
488,24686,66.03821
489,24901,138.76414
490,25022,37.60903
491,25189,80.98247
492,25371,305.7051
493,25515,31.632141
494,25717,342.78546
495,25837,60.19491
496,26017,320.3447
497,26199,86.27632
498,26372,28.234827
499,26611,83.03926
500,27002,149.58925
501,27150,246.49664
502,27367,57.590206
503,27583,321.11588
504,27780,75.79055
505,28000,143.24316
506,28125,221.72919
507,28242,51.38892
508,28377,224.55368
509,28685,292.2189
510,28973,101.65667
511,29075,10.5675335
512,29271,272.999
513,29515,172.29047
514,29638,228.78539
515,29970,119.96721
516,30095,147.79195
517,30258,291.65927
518,30452,306.17834
519,30995,319.37924
520,31133,211.96214
521,31429,456.44022
522,31563,236.6178
523,31843,367.1136
524,32233,234.74135
525,32399,31.760582
526,32629,361.0434
527,32861,350.1201
528,33010,248.59294
529,33368,141.4001
530,33604,116.90669
531,33841,136.6703
532,34181,171.97032
533,34346,263.74115
534,34613,355.24164
535,34874,339.89865
536,35022,250.9425
537,35367,468.3809
538,35582,337.55173
539,35785,312.5577
540,35940,231.98308
541,36230,428.52808
542,36361,249.64642
543,36510,58.486794
544,36669,268.64532
545,36880,111.92279
546,37022,11.527538
547,37187,285.37894
548,37476,385.53888
549,37701,34.67712
550,37857,254.4748
551,38068,102.35415
552,38274,328.0304
553,38559,196.34978
554,38847,413.10385
555,38906,39.4825
556,39015,218.66916
557,39280,409.17975
558,39578,425.45828
559,39996,560.6166
560,40197,326.41724
561,40830,759.5834
562,41047,329.6735
563,41169,225.31815
564,41306,244.53856
565,41503,319.1738
566,41693,309.21466
567,41840,248.01784
568,42005,271.367
569,42467,587.3897
570,42620,278.94293
571,42826,104.290825
572,43238,552.1271
573,43385,261.83862
574,43569,316.2789
575,43785,337.93967
576,43910,249.88254
577,44123,325.70462
578,44232,78.72122
579,44480,381.74774
580,44729,70.22612
581,44921,303.59537
582,45020,9.025367
583,45158,231.41867
584,45373,346.65863
585,45551,306.93002
586,45830,148.56699
587,45942,199.71315
588,46111,294.66486
589,46678,497.50586
590,46938,395.3106
591,47455,631.17255
592,47628,283.20108
593,47844,332.33853
594,47986,256.52353
595,48219,360.7853
596,48390,284.632
597,48496,194.27855
598,48661,301.294
599,48827,294.33182
600,48966,262.6734
601,49202,369.74292
602,49353,260.20807
603,49666,381.91382
604,49816,281.10342
605,49998,287.4314
606,50209,81.389626
607,50390,274.82227
608,50580,316.76416
609,50744,276.31656
610,50916,295.77145
611,51195,406.02496
612,51455,409.933
613,51655,315.01794
614,51862,328.39832
615,52146,423.94238
616,52317,240.39331
617,52481,283.822
618,52729,104.20166
619,52979,131.48741
620,53232,347.35913
621,53371,257.19067
622,53558,297.9168
623,53786,327.89795
624,54061,358.75412
625,54248,312.55017
626,54559,460.00558
627,54715,286.27948
628,54854,232.4075
629,55011,27.637901
630,55166,255.49101
631,55393,104.98242
632,55529,255.22986
633,55717,323.59814
634,55868,281.14825
635,56028,280.34283
636,56206,313.78702
637,56337,227.04132
638,56521,307.7646
639,56655,242.20218
640,56793,247.9205
641,57239,585.1921
642,57412,299.92395
643,57634,345.01135
644,57778,256.46008
645,57959,66.25568
646,58101,259.0959
647,58319,352.7319
648,58477,266.47464
649,58623,257.17868
650,58820,314.63934
651,58954,248.62549
652,59129,294.72583
653,59337,309.93484
